“language”,“lemma”,“transliteration”,“meaning”,“english_renderings”,“first_reference”,“footnote”
“Greek”,“θεός”,“theos”,“God; god”,“God; god”,“Genesis 1:1”,“In context this lemma may denote the true God or a false god.”
“Greek”,“κύριος”,“kyrios”,“lord; master”,“Lord; lord; master”,“Genesis 18:3”,“This lemma can denote a human master or the divine title, depending on context.”
“Greek”,“λόγος”,“logos”,“word; speech; matter”,“word; saying; matter”,“Genesis 15:1”,“A broad term for word, message, report, or matter.”
“Greek”,“πνεῦμα”,“pneuma”,“spirit; wind; breath”,“Spirit; spirit; wind”,“Genesis 1:2”,“Meaning is determined by context: divine Spirit, human spirit, wind, or breath.”
“Greek”,“ἀγάπη”,“agapē”,“love”,“love; charity”,“2 Samuel 13:15”,“A principal biblical term for love, especially in moral and covenantal settings.”
“Greek”,“χάρις”,“charis”,“grace; favor”,“grace; favor”,“Genesis 6:8”,“Often denotes favor freely shown, though it can also mean thanks or graciousness.”
“Greek”,“πίστις”,“pistis”,“faith; trust; faithfulness”,“faith; faithfulness”,“Habakkuk 2:4”,“This lemma can denote trust, belief, or fidelity.”
“Greek”,“δικαιοσύνη”,“dikaiosynē”,“righteousness; justice”,“righteousness”,“Genesis 15:6”,“A central biblical term for uprightness, justice, and right standing.”
“Greek”,“ἁμαρτία”,“hamartia”,“sin; offense”,“sin”,“Genesis 4:7”,“The standard biblical term for sin and culpable wrongdoing.”
“Greek”,“σωτηρία”,“sōtēria”,“salvation; deliverance”,“salvation; deliverance”,“Genesis 49:18”,“Can refer to rescue, deliverance, or salvation in a fuller theological sense.”
“Greek”,“ζωή”,“zōē”,“life”,“life”,“Genesis 1:20”,“Used for life broadly, including eternal life in later biblical theology.”
“Greek”,“φῶς”,“phōs”,“light”,“light”,“Genesis 1:3”,“A major biblical image for creation, truth, holiness, and revelation.”
“Greek”,“ἀλήθεια”,“alētheia”,“truth”,“truth”,“Genesis 24:27”,“Can denote truthfulness, reliability, or what is true.”
“Greek”,“νόμος”,“nomos”,“law”,“law”,“Exodus 12:49”,“Usually denotes law or legal norm; often the Mosaic law in biblical context.”
“Greek”,“ἐκκλησία”,“ekklēsia”,“assembly; congregation”,“church; assembly”,“Deuteronomy 4:10”,“In the Greek Bible this term first denotes an assembly before becoming the standard word for the church.”
“Greek”,“εὐαγγέλιον”,“euangelion”,“good news; gospel”,“gospel; good tidings”,“2 Samuel 4:10”,“The term means good news and later becomes the fixed Christian term gospel.”
“Greek”,“βασιλεία”,“basileia”,“kingdom; reign”,“kingdom”,“Genesis 10:10”,“Can denote a realm or the active reign of a king.”
