language,lemma,transliteration,meaning,english_renderings,first_reference,footnote
“Hebrew”,“יהוה”,“YHWH”,“the covenant name of God”,“LORD; Jehovah”,“Genesis 2:4”,“The divine name, traditionally read as Adonai in Jewish reading practice.”
“Hebrew”,“אֱלֹהִים”,“Elohim”,“God; gods”,“God; gods; divine beings”,“Genesis 1:1”,“Morphologically plural but often takes singular verbs for the God of Israel.”
“Hebrew”,“אֲדֹנָי”,“Adonai”,“Lord; Master”,“Lord”,“Genesis 15:2”,“Reverential title for God, often substituting for YHWH in reading.”
“Hebrew”,“בְּרִית”,“berit”,“covenant; treaty”,“covenant; league”,“Genesis 6:18”,“A foundational theological term for divine-human and human-human covenants.”
“Hebrew”,“חֶסֶד”,“chesed”,“steadfast love; covenant loyalty”,“mercy; lovingkindness; kindness”,“Genesis 19:19”,“Carries the sense of loyal love, often within covenant relationship.”
“Hebrew”,“תּוֹרָה”,“torah”,“instruction; law”,“law; instruction”,“Exodus 12:49”,“Broader than legal code; can mean teaching or revealed instruction.”
“Hebrew”,“מִשְׁפָּט”,“mishpat”,“judgment; justice; legal decision”,“judgment; justice; ordinance”,“Genesis 18:19”,“Can denote both judicial process and righteous social order.”
“Hebrew”,“צְדָקָה”,“tsedaqah”,“righteousness; justice”,“righteousness; justice”,“Genesis 15:6”,“Closely tied to right order, covenant faithfulness, and ethical conduct.”
“Hebrew”,“רוּחַ”,“ruach”,“spirit; wind; breath”,“spirit; wind; breath”,“Genesis 1:2”,“Used for the Spirit of God, human spirit, and physical wind.”
“Hebrew”,“שָׁלוֹם”,“shalom”,“peace; wholeness; well-being”,“peace; welfare; prosperity”,“Genesis 15:15”,“More than absence of conflict; implies completeness and flourishing.”
“Hebrew”,“אָב”,“av”,“father”,“father”,“Genesis 2:24”,“Basic kinship term with broad theological and ancestral importance.”
“Hebrew”,“אֵם”,“em”,“mother”,“mother”,“Genesis 2:24”,“Basic family term, also used metaphorically for sources and origins.”
“Hebrew”,“בֵּן”,“ben”,“son”,“son; child”,“Genesis 4:17”,“Can refer literally to a son or more broadly to a descendant or member.”
“Hebrew”,“בַּת”,“bat”,“daughter”,“daughter”,“Genesis 5:4”,“Used literally and figuratively for peoples, cities, and nations.”
“Hebrew”,“אִישׁ”,“ish”,“man; האיש”,“man; husband”,“Genesis 2:23”,“Can mean man in contrast to woman or husband in family setting.”
“Hebrew”,“אִשָּׁה”,“ishshah”,“woman; wife”,“woman; wife”,“Genesis 2:22”,“Context determines whether ‘woman’ or ‘wife’ is intended.”
“Hebrew”,“אָדָם”,“adam”,“man; humankind; Adam”,“man; mankind; Adam”,“Genesis 1:26”,“Used both as a personal name and as a collective for humanity.”
