"name","transliteration","meaning","first_reference","footnote"
"Adam","Adam","Man; of the red earth","Genesis 2:19","First human formed from the ground; his name is literally what he was made from."
"Eve","Chavah","Living; life-giver","Genesis 3:20","Mother of all living; the name given after the promise of redemption."
"Cain","Qayin","Acquired; spear","Genesis 4:1","Eve said, “I have acquired a man with the help of the LORD,” but he became the first murderer."
"Abel","Hevel","Breath; vanity; futility","Genesis 4:2","His life was short and vanished like a breath; the first martyr."
"Seth","Seth","Appointed; compensation; placed","Genesis 4:25","God appointed another seed instead of Abel; the chosen line continues through him."
"Enos","Enosh","Man; mortal; frail","Genesis 4:26","The familiar English form is Enos; the Hebrew form is usually represented as Enosh, meaning man, mortal, or frail."
"Cainan","Kenan","Possession; smith; spear","Genesis 5:9","The familiar English form in this LXX/KJV genealogy is Cainan; the related Hebrew form is often represented as Kenan."
"Mahalaleel","Mahalalel","Praise of God; the shining one of God","Genesis 5:12","Familiar English form for this genealogy; his name carries praise-of-God language."
"Jared","Yered","Descent; he shall come down","Genesis 5:15","Traditional interpretation points to descent or coming judgment."
"Enoch","Chanok","Dedicated; trained; initiated","Genesis 4:17","Cain's son and city namesake here; the same familiar English name is later used for the Sethite Enoch who pleased God."
"Methuselah","Methushelach","When he dies, it shall be sent; man of the dart","Genesis 5:21","His death coincided with the Flood; his name is often taken as a prophecy of judgment."
"Lamech","Lamech","Powerful; overthrower; possibly poor or despairing","Genesis 4:18","Cainite descendant who takes two wives and speaks the violence song; the same familiar English name later appears for Noah's father."
"Noah","Noach","Rest; comfort; relief","Genesis 5:29","The ark brought rest from judgment."
"Shem","Shem","Name; renown","Genesis 5:32","Ancestor of the Semitic line; through him came the line that would bear God’s name."
"Japheth","Yapheth","Enlarged; may he enlarge","Genesis 5:32","His descendants spread across the earth."
"Abram","Avram","Exalted father","Genesis 11:26","His original name emphasizes fatherhood before the covenant expansion of his name."
"Abraham","Avraham","Father of a multitude","Genesis 17:5","God expanded Abram's name to mark the covenant promise that many nations would come from him."
"Sara","Sarah","Princess; noblewoman","Genesis 11:29","The LXX form appears before the covenant-renaming narrative."
"Sarai","Sarai","My princess","Genesis 16:1","Her earlier name anticipates the covenant name Sarah."
"Sarah","Sarah","Princess; noblewoman","Genesis 17:15","God renamed Sarai as Sarah in the covenant promise of Isaac."
"Hagar","Hagar","Flight; fugitive; sojourner","Genesis 16:1","Egyptian servant of Sarah; God saw and heard her affliction in the wilderness."
"Isaac","Yitzchak","He laughs; laughter","Genesis 17:19","His name answers Abraham and Sarah's laughter and marks the promised son."
"Lot","Lot","Covering; veil","Genesis 11:27","Abraham's nephew, rescued from captivity and later from Sodom."
"Melchizedek","Malki-Tzedek","King of righteousness","Genesis 14:18","King of Salem and priest of God Most High; later read typologically in Hebrews."
"Rebekah","Rivkah","To bind; captivating","Genesis 22:23","Chosen as Isaac's wife and mother of Jacob and Esau."
"Leah","Leah","Weary; tired","Genesis 29:16","Jacob's first wife; mother of Judah and Levi."
"Rachel","Rachel","Ewe; female sheep","Genesis 29:6","Beloved wife of Jacob and mother of Joseph and Benjamin."
"Canaan","Kena'an","Lowland; humbled; merchant-land","Genesis 9:18","Name of Ham's son and of the land later promised to Abraham's seed."
"Ishmael","Yishmael","God hears","Genesis 16:11","God heard Hagar’s affliction in the wilderness."
"Pharaoh","Per-aa","Great house","Genesis 12:15","Egyptian royal title used as a personal designation for Egypt's king."
"Abimelech","Avimelek","My father is king","Genesis 20:2","Royal name or title borne by rulers in the patriarchal and judges narratives."
"Laban","Lavan","White","Genesis 24:29","Rebekah's brother and Jacob's Aramean father-in-law."
"Esau","Esav","Hairy; red","Genesis 25:25","Born hairy and red; sold his birthright for red stew."
"Jacob","Yaaqov","Supplanter; heel-grabber","Genesis 25:26","Grabbed Esau’s heel at birth; later supplanted him and became Israel."
"Israel","Yisrael","God contends; strives with God","Genesis 32:28","Wrestled with God and prevailed; name of the covenant nation."
"Reuben","Reuven","Behold a son","Genesis 29:32","Leah’s first son; hoped it would win Jacob’s love."
"Simeon","Shimon","Heard","Genesis 29:33","The LORD heard that Leah was hated."
"Levi","Levi","Joined; attached","Genesis 29:34","Leah hoped her husband would be joined to her; tribe of priests."
"Judah","Yehudah","Praise","Genesis 29:35","Royal tribe and ancestor of Messiah."
"Dan","Dan","He judged","Genesis 30:6","Rachel named him from God's judgment in her favor through Bilhah's son."
"Gad","Gad","Fortune; troop","Genesis 30:11","Leah's household named him with fortune/troop language."
"Asher","Asher","Happy; blessed","Genesis 30:13","Leah called him happy because women would call her blessed."
"Issachar","Yissakar","There is recompense; wages","Genesis 30:18","Leah named him from the reward or wages theme in the birth story."
"Zebulun","Zevulun","Dwelling; honor","Genesis 30:20","Leah linked the name with her hope that Jacob would dwell with her."
"Joseph","Yosef","He adds; may He add","Genesis 30:24","God added to his blessings despite betrayal; savior of his family."
"Ephraim","Ephrayim","Fruitful; doubly fruitful","Genesis 41:52","Joseph named him because God made him fruitful in the land of affliction."
"Manasseh","Menasheh","Causing to forget","Genesis 41:51","Joseph named him because God made him forget his toil and father's house."
"Benjamin","Binyamin","Son of the right hand","Genesis 35:18","Rachel’s son of sorrow became son of the right hand."
"Moses","Mosheh","Drawn out","Exodus 2:10","Drawn out of the Nile; drew Israel out of Egypt."
"Aaron","Aharon","Exalted; mountain of strength; teacher","Exodus 4:14","First high priest; exalted to lead worship."
"Nadab","Nadav","Generous; willing","Exodus 6:23","Aaron's son whose priestly privilege ended in judgment for unauthorized fire."
"Ithamar","Ithamar","Island or coast of palms","Exodus 6:23","Aaron's son; priestly line continued through him."
"Joshua","Yehoshua","Yahweh saves","Exodus 17:9","Led Israel into the Promised Land; his name points to the ultimate Savior."
"Balaam","Bil'am","Not of the people; devourer","Numbers 22:5","Foreign diviner whose blessing-oracles God turned toward Israel's good."
"Caleb","Kalev","Whole-hearted; dog","Numbers 13:6","Followed the LORD fully; faithful like a dog."
"Gideon","Gid'on","Hewer; cutter","Judges 6:11","Judge who cut down Baal's altar and was raised to deliver Israel."
"Jephthae","Yiphtach","He opens","Judges 11:1","Gileadite judge whose name fits his opening of negotiations and battle."
"Samson","Shimshon","Sun-like; little sun","Judges 13:24","Judge whose strength burned brightly but whose story ended in costly judgment."
"Elimelech","Eli Melek","My God is king","Ruth 1:2","Naomi's husband; his name confesses God as king in the days of the judges."
"Naomi","Naomi","Pleasant; my delight","Ruth 1:2","Ruth's mother-in-law; her bitter season was reversed by covenant kindness."
"Mahlon","Machlon","Sickly; weak","Ruth 1:2","Naomi's son; his death leaves Ruth widowed before redemption enters the story."
"Chilion","Kilyon","Failing; wasting away","Ruth 1:2","Naomi's son; his name is traditionally linked with frailty or wasting."
"Orpah","Orpah","Back of the neck; fawn","Ruth 1:4","Ruth's sister-in-law who turned back to Moab."
"Boaz","Boaz","In strength; swiftness","Ruth 2:1","Kinsman-redeemer in Ruth; ancestor of David."
"Rahab","Rachav","Broad; spacious","Joshua 2:1","God’s mercy was broad enough to save a Canaanite prostitute."
"Ruth","Ruth","Friend; companion","Ruth 1:4","Loyal friend to Naomi; became ancestor of David and Messiah."
