ref,book_code,book_name,chapter,verse,greek_text,transliteration,literal_gloss,syntax_notes,draft_translation
Tobit 1:1,TOB,Tobit,1,1,"ΒΙΒΛΟΣ λόγων Τωβίτ, τοῦ Τωβιήλ, τοῦ Ἀνανιήλ, τοῦ Ἀδουήλ, τοῦ Γαβαήλ, ἐκ τοῦ σπέρματος Ἀσιήλ, ἐκ τῆς φυλῆς Νεφθαλίμ,",,,Source footnote: ΚΑΤΑ ΤΟΥΣ ΚΩΔΙΚΕΣ Β' ΚΑΙ Α',"Book of the words of Tobit son of Tobiel son of Ananiel son of Aduel son of Gabael, from the seed of Asiel, from the tribe of Naphtali,"
Tobit 1:2,TOB,Tobit,1,2,"ὃς ᾐχμαλωτεύθη ἐν ἡμέραις Ἐνεμεσσάρου τοῦ βασιλέως Ἀσσυρίων ἐκ Θίσβης, ἥ ἐστιν ἐκ δεξιῶν Κυδίως τῆς Νεφθαλὶ ἐν τῇ Γαλιλαίᾳ ὑπεράνω Ἀσήρ. ἐγὼ Τωβὶτ ὁδοῖς ἀληθείας ἐπορευόμην καὶ δικαιοσύνης πάσας τὰς ἡμέρας τῆς ζωῆς μου",,,,"who was taken captive in the days of Enemessar, king of the Assyrians, from Thisbe, which is to the right of Kydios of Naphtali in Galilee above Asher. I, Tobit, walked in ways of truth and righteousness all the days of my life,"
Tobit 1:3,TOB,Tobit,1,3,"καὶ ἐλεημοσύνας πολλὰς ἐποίησα τοῖς ἀδελφοῖς μου καὶ τῷ ἔθνει, τοῖς προπορευθεῖσι μετ᾿ ἐμοῦ εἰς χώραν Ἀσσυρίων εἰς Νινευῆ.",,,,"and I did many acts of mercy for my brothers and for the nation, those who went before with me into the country of the Assyrians, to Nineveh."
Tobit 1:4,TOB,Tobit,1,4,"καὶ ὅτε ἤμην ἐν τῇ χώρᾳ μου ἐν τῇ γῇ Ἰσραὴλ νεωτέρου μου ὄντος, πᾶσα φυλὴ τοῦ Νεφθαλὶμ τοῦ πατρός μου ἀπέστη ἀπὸ τοῦ οἴκου Ἱερουσολύμων, τῆς ἐκλεγείσης ἀπὸ πασῶν τῶν φυλῶν Ἰσραὴλ εἰς τὸ θυσιάζειν πάσας τὰς φυλάς· καὶ ἡγιάσθη ὁ ναὸς τῆς κατασκηνώσεως τοῦ Ὑψίστου καὶ ᾠκοδομήθη εἰς πάσας τὰς γενεὰς τοῦ αἰῶνος.",,,,"And when I was in my country, in the land of Israel, while I was younger, the whole tribe of Naphtali my father withdrew from the house of Jerusalem, which had been chosen from all the tribes of Israel for all the tribes to sacrifice there; and the temple of the dwelling of the Most High was sanctified and built for all generations of the age."
Tobit 1:5,TOB,Tobit,1,5,καὶ πᾶσαι αἱ φυλαὶ αἱ συναποστᾶσαι ἔθυον τῇ Βάαλ τῇ δαμάλει καὶ ὁ οἶκος Νεφθαλὶμ τοῦ πατρός μου.,,,,"And all the tribes that had withdrawn together sacrificed to Baal the heifer, and the house of Naphtali my father."
Tobit 1:6,TOB,Tobit,1,6,"κἀγὼ μόνος ἐπορευόμην πλεονάκις εἰς Ἱεροσόλυμα ἐν ταῖς ἑορταῖς, καθὼς γέγραπται παντὶ τῷ Ἰσραὴλ ἐν προστάγματι αἰωνίῳ, τὰς ἀπαρχὰς καὶ τὰς δεκάτας τῶν γεννημάτων καὶ τὰς πρωτοκουρίας ἔχων·",,,,"And I alone went often to Jerusalem at the feasts, just as it has been written for all Israel by an eternal ordinance, having the firstfruits and the tithes of the produce and the first shearings."
Tobit 1:7,TOB,Tobit,1,7,"καὶ ἐδίδουν αὐτὰς τοῖς ἱερεῦσι τοῖς υἱοῖς Ἀαρὼν πρὸς τὸ θυσιαστήριον πάντων τῶν γεννημάτων. τὴν δεκάτην ἐδίδουν τοῖς υἱοῖς Λευὶ τοῖς θεραπεύουσιν εἰς Ἱερουσαλήμ, καὶ τὴν δευτέραν δεκάτην ἀπεπρατιζόμην καὶ ἐπορευόμην καὶ ἐδαπάνων αὐτὰ ἐν Ἱεροσολύμοις καθ᾿ ἕκαστον ἐνιαυτόν.",,,,"And I gave them to the priests, the sons of Aaron, toward the altar, from all the produce. The tithe I gave to the sons of Levi who minister in Jerusalem, and the second tithe I sold off, and I went and spent them in Jerusalem each year."
Tobit 1:8,TOB,Tobit,1,8,"καὶ τὴν τρίτην ἐδίδουν οἷς καθήκει, καθὼς ἐνετείλατο Δεββώρα ἡ μήτηρ τοῦ πατρός μου, διότι ὀρφανὸς κατελείφθην ὑπὸ τοῦ πατρός μου.",,,,"And the third tithe I gave to those to whom it belongs, just as Deborah, the mother of my father, commanded, because I was left an orphan by my father."
Tobit 1:9,TOB,Tobit,1,9,"καὶ ὅτε ἐγενόμην ἀνήρ, ἔλαβον Ἄνναν γυναῖκα ἐκ τοῦ σπέρματος τῆς πατριᾶς ἡμῶν καὶ ἐγέννησα ἐξ αὐτῆς Τωβίαν.",,,,"And when I became a man, I took Anna as wife from the seed of our father's house, and from her I fathered Tobias."
Tobit 1:10,TOB,Tobit,1,10,"καὶ ὅτε ᾐχμαλωτίσθημεν εἰς Νινευῆ, πάντες οἱ ἀδελφοί μου καὶ οἱ ἐκ τοῦ γένους μου ἤσθιον ἐκ τῶν ἄρτων τῶν ἐθνῶν·",,,,"And when we were taken captive to Nineveh, all my brothers and those from my race were eating from the breads of the nations;"
Tobit 1:11,TOB,Tobit,1,11,"ἐγὼ δὲ συνετήρησα τὴν ψυχήν μου μὴ φαγεῖν,",,,,"but I kept my soul from eating,"
Tobit 1:12,TOB,Tobit,1,12,καθότι ἐμεμνήμην τοῦ Θεοῦ ἐν ὅλῃ τῇ ψυχῇ μου.,,,,because I remembered God with my whole soul.
Tobit 1:13,TOB,Tobit,1,13,"καὶ ἔδωκεν ὁ ¨Υψιστος χάριν καὶ μορφὴν ἐνώπιον Ἐνεμεσσάρου, καὶ ἤμην αὐτοῦ ἀγοραστής·",,,,"And the Most High gave favor and good appearance before Enemessar, and I was his buyer;"
Tobit 1:14,TOB,Tobit,1,14,καὶ ἐπορευόμην εἰς τὴν Μηδίαν καὶ παρεθέμην Γαβαήλῳ τῷ ἀδελφῷ Γαβρία ἐν Ράγοις τῆς Μηδίας ἀργυρίου τάλαντα δέκα.,,,,"and I went to Media and deposited with Gabael, the brother of Gabrias, in Rages of Media, ten talents of silver."
Tobit 1:15,TOB,Tobit,1,15,"Καὶ ὅτε ἀπέθανεν Ἐνεμεσσάρ, ἐβασίλευσε Σενναχηρὶμ ὁ υἱὸς αὐτοῦ ἀντ᾿ αὐτοῦ, καὶ αἱ ὁδοὶ αὐτοῦ ἠκαταστάθησαν, καὶ οὐκ ἔτι ἠδυνάσθην πορευθῆναι εἰς τὴν Μηδίαν.",,,,"And when Enemessar died, Sennacherim his son reigned instead of him, and his ways were unsettled, and I was no longer able to go to Media."
Tobit 1:16,TOB,Tobit,1,16,καὶ ἐν ταῖς ἡμέραις Ἐνεμεσσάρου ἐλεημοσύνας πολλὰς ἐποίουν τοῖς ἀδελφοῖς μου·,,,,And in the days of Enemessar I was doing many acts of mercy for my brothers;
Tobit 1:17,TOB,Tobit,1,17,"τοὺς ἄρτους μου ἐδίδουν τοῖς πεινῶσι καὶ ἱμάτια τοῖς γυμνοῖς, καὶ εἴ τινα ἐκ τοῦ γένους μου ἐθεώρουν τεθνηκότα καὶ ἐρριμμένον ὀπίσω τοῦ τείχους Νινευῆ, ἔθαπτον αὐτόν.",,,,"I gave my breads to the hungry and garments to the naked, and if I saw anyone from my race dead and thrown behind the wall of Nineveh, I buried him."
Tobit 1:18,TOB,Tobit,1,18,"καὶ εἴ τινα ἀπέκτεινε Σενναχηρὶμ ὁ βασιλεύς, ὅτε ἦλθε φεύγων ἐκ τῆς Ἰουδαίας, ἔθαψα αὐτοὺς κλέπτων· πολλοὺς γὰρ ἀπέκτεινεν ἐν τῷ θυμῷ αὐτοῦ· καὶ ἐζητήθη ὑπὸ τοῦ βασιλέως τὰ σώματα, καὶ οὐχ εὑρέθη.",,,,"And if King Sennacherim killed anyone, when he came fleeing from Judea, I buried them by stealth; for he killed many in his wrath, and the bodies were sought by the king and were not found."
Tobit 1:19,TOB,Tobit,1,19,"πορευθεὶς δὲ εἷς τῶν ἐν Νινευῆ, ὑπέδειξε τῷ βασιλεῖ περὶ ἐμοῦ ὅτι θάπτω αὐτούς, καὶ ἐκρύβην· ἐπιγνοὺς δὲ ὅτι ζητοῦμαι ἀποθανεῖν, φοβηθεὶς ἀνεχώρησα.",,,,"But one of those in Nineveh went and informed the king about me, that I was burying them, and I hid myself; and knowing that I was being sought to die, I was afraid and withdrew."
Tobit 1:20,TOB,Tobit,1,20,"καὶ διηρπάγη πάντα τὰ ὑπάρχοντά μου, καὶ οὐ κατελείφθη μοι οὐδὲν πλὴν Ἄννας τῆς γυναικός μου καὶ Τωβίου τοῦ υἱοῦ μου.",,,,"And all my possessions were plundered, and nothing was left to me except Anna my wife and Tobias my son."
