ref,book_code,book_name,chapter,verse,greek_text,transliteration,literal_gloss,syntax_notes,draft_translation,ukjv_translation,review_status,review_notes
Matthew 1:1,MAT,Matthew,1,1,βιβλος γενεσεως ιησου χριστου υιου δαβιδ υιου αβρααμ,biblov genesewv ihsou cristou uiou dabid uiou abraam,,,"Book of the origin of Jesus Christ, son of David, son of Abraham.","The book of the generation of Jesus Christ, the son of David, the son of Abraham.",tr_literal_manual,manual TR literal override
Matthew 1:2,MAT,Matthew,1,2,αβρααμ εγεννησεν τον ισαακ ισαακ δε εγεννησεν τον ιακωβ ιακωβ δε εγεννησεν τον ιουδαν και τους αδελφους αυτου,abraam egennhsen ton isaak isaak de egennhsen ton iakwb iakwb de egennhsen ton ioudan kai touv adelfouv autou,,,Abraham fathered Isaac; and Isaac fathered Jacob; and Jacob fathered Judah and his brothers;,Abraham brings forth Isaac; and Isaac brings forth Jacob; and Jacob brings forth Judas and his brethren;,tr_literal_pass1,aligned gennao with fathered; rendered adelphoi-family wording as brothers; rendered general brings-forth as produces; standardized contextual NT proper-name English equivalent
Matthew 1:3,MAT,Matthew,1,3,ιουδας δε εγεννησεν τον φαρες και τον ζαρα εκ της θαμαρ φαρες δε εγεννησεν τον εσρωμ εσρωμ δε εγεννησεν τον αραμ,ioudav de egennhsen ton farev kai ton zara ek thv yamar farev de egennhsen ton esrwm esrwm de egennhsen ton aram,,,And Judah fathered Perez and Zerah of Tamar; and Perez fathered Hezron; and Hezron fathered Aram;,And Judas brings forth Phares and Zara of Thamar; and Phares brings forth Esrom; and Esrom brings forth Aram;,tr_literal_pass1,aligned gennao with fathered; rendered general brings-forth as produces; standardized NT proper-name English equivalent; standardized contextual NT proper-name English equivalent
Matthew 1:4,MAT,Matthew,1,4,αραμ δε εγεννησεν τον αμιναδαβ αμιναδαβ δε εγεννησεν τον ναασσων ναασσων δε εγεννησεν τον σαλμων,aram de egennhsen ton aminadab aminadab de egennhsen ton naasswn naasswn de egennhsen ton salmwn,,,And Aram fathered Amminadab; and Amminadab fathered Nahshon; and Nahshon fathered Salmon;,And Aram brings forth Aminadab; and Aminadab brings forth Naasson; and Naasson brings forth Salmon;,tr_literal_pass1,aligned gennao with fathered; rendered general brings-forth as produces; standardized NT proper-name English equivalent
Matthew 1:5,MAT,Matthew,1,5,σαλμων δε εγεννησεν τον βοοζ εκ της ραχαβ βοοζ δε εγεννησεν τον ωβηδ εκ της ρουθ ωβηδ δε εγεννησεν τον ιεσσαι,salmwn de egennhsen ton booz ek thv racab booz de egennhsen ton wbhd ek thv rouy wbhd de egennhsen ton iessai,,,And Salmon fathered Boaz of Rahab; and Boaz fathered Obed of Ruth; and Obed fathered Jesse;,And Salmon brings forth Booz of Rachab; and Booz brings forth Obed of Ruth; and Obed brings forth Jesse;,tr_literal_pass1,aligned gennao with fathered; rendered general brings-forth as produces; standardized NT proper-name English equivalent
Matthew 1:6,MAT,Matthew,1,6,ιεσσαι δε εγεννησεν τον δαβιδ τον βασιλεα δαβιδ δε ο βασιλευς εγεννησεν τον σολομωντα εκ της του ουριου,iessai de egennhsen ton dabid ton basilea dabid de o basileuv egennhsen ton solomwnta ek thv tou ouriou,,,And Jesse fathered David the king; and David the king fathered Solomon of her that had been the wife of Uriah;,And Jesse brings forth David the king; and David the king brings forth Solomon of her that had been the wife of Urias;,tr_literal_pass1,aligned gennao with fathered; rendered general brings-forth as produces; standardized NT proper-name English equivalent
Matthew 1:7,MAT,Matthew,1,7,σολομων δε εγεννησεν τον ροβοαμ ροβοαμ δε εγεννησεν τον αβια αβια δε εγεννησεν τον ασα,solomwn de egennhsen ton roboam roboam de egennhsen ton abia abia de egennhsen ton asa,,,And Solomon fathered Rehoboam; and Rehoboam fathered Abijah; and Abijah fathered Asa;,And Solomon brings forth Roboam; and Roboam brings forth Abia; and Abia brings forth Asa;,tr_literal_pass1,aligned gennao with fathered; rendered general brings-forth as produces; standardized NT proper-name English equivalent
Matthew 1:8,MAT,Matthew,1,8,ασα δε εγεννησεν τον ιωσαφατ ιωσαφατ δε εγεννησεν τον ιωραμ ιωραμ δε εγεννησεν τον οζιαν,asa de egennhsen ton iwsafat iwsafat de egennhsen ton iwram iwram de egennhsen ton ozian,,,And Asa fathered Jehoshaphat; and Jehoshaphat fathered Joram; and Joram fathered Uzziah;,And Asa brings forth Josaphat; and Josaphat brings forth Joram; and Joram brings forth Ozias;,tr_literal_pass1,aligned gennao with fathered; rendered general brings-forth as produces; standardized NT proper-name English equivalent
Matthew 1:9,MAT,Matthew,1,9,οζιας δε εγεννησεν τον ιωαθαμ ιωαθαμ δε εγεννησεν τον αχαζ αχαζ δε εγεννησεν τον εζεκιαν,oziav de egennhsen ton iwayam iwayam de egennhsen ton acaz acaz de egennhsen ton ezekian,,,And Uzziah fathered Jotham; and Jotham fathered Ahaz; and Ahaz fathered Hezekiah;,And Ozias brings forth Joatham; and Joatham brings forth Achaz; and Achaz brings forth Ezekias;,tr_literal_pass1,aligned gennao with fathered; rendered general brings-forth as produces; standardized NT proper-name English equivalent
Matthew 1:10,MAT,Matthew,1,10,εζεκιας δε εγεννησεν τον μανασση μανασσης δε εγεννησεν τον αμων αμων δε εγεννησεν τον ιωσιαν,ezekiav de egennhsen ton manassh manasshv de egennhsen ton amwn amwn de egennhsen ton iwsian,,,And Hezekiah fathered Manasseh; and Manasseh fathered Amon; and Amon fathered Josiah;,And Ezekias brings forth Manasses; and Manasses brings forth Amon; and Amon brings forth Josias;,tr_literal_pass1,aligned gennao with fathered; rendered general brings-forth as produces; standardized NT proper-name English equivalent
Matthew 1:11,MAT,Matthew,1,11,ιωσιας δε εγεννησεν τον ιεχονιαν και τους αδελφους αυτου επι της μετοικεσιας βαβυλωνος,iwsiav de egennhsen ton ieconian kai touv adelfouv autou epi thv metoikesiav babulwnov,,,"And Josiah fathered Jeconiah and his brothers, about the time they were carried away to Babylon:","And Josias brings forth Jechonias and his brethren, about the time they were carried away to Babylon:",tr_literal_pass1,aligned gennao with fathered; rendered adelphoi-family wording as brothers; rendered general brings-forth as produces; standardized NT proper-name English equivalent
Matthew 1:12,MAT,Matthew,1,12,μετα δε την μετοικεσιαν βαβυλωνος ιεχονιας εγεννησεν τον σαλαθιηλ σαλαθιηλ δε εγεννησεν τον ζοροβαβελ,meta de thn metoikesian babulwnov ieconiav egennhsen ton salayihl salayihl de egennhsen ton zorobabel,,,"And after they were brought to Babylon, Jeconiah fathered Shealtiel; and Shealtiel fathered Zerubbabel;","And after they were brought to Babylon, Jechonias brings forth Salathiel; and Salathiel brings forth Zorobabel;",tr_literal_pass1,aligned gennao with fathered; rendered general brings-forth as produces; standardized NT proper-name English equivalent
Matthew 1:13,MAT,Matthew,1,13,ζοροβαβελ δε εγεννησεν τον αβιουδ αβιουδ δε εγεννησεν τον ελιακειμ ελιακειμ δε εγεννησεν τον αζωρ,zorobabel de egennhsen ton abioud abioud de egennhsen ton eliakeim eliakeim de egennhsen ton azwr,,,And Zerubbabel fathered Abiud; and Abiud fathered Eliakim; and Eliakim fathered Azor;,And Zorobabel brings forth Abiud; and Abiud brings forth Eliakim; and Eliakim brings forth Azor;,tr_literal_pass1,aligned gennao with fathered; rendered general brings-forth as produces; standardized NT proper-name English equivalent
Matthew 1:14,MAT,Matthew,1,14,αζωρ δε εγεννησεν τον σαδωκ σαδωκ δε εγεννησεν τον αχειμ αχειμ δε εγεννησεν τον ελιουδ,azwr de egennhsen ton sadwk sadwk de egennhsen ton aceim aceim de egennhsen ton elioud,,,And Azor fathered Sadoc; and Sadoc fathered Achim; and Achim fathered Eliud;,And Azor brings forth Sadoc; and Sadoc brings forth Achim; and Achim brings forth Eliud;,tr_literal_pass1,aligned gennao with fathered; rendered general brings-forth as produces
Matthew 1:15,MAT,Matthew,1,15,ελιουδ δε εγεννησεν τον ελεαζαρ ελεαζαρ δε εγεννησεν τον ματθαν ματθαν δε εγεννησεν τον ιακωβ,elioud de egennhsen ton eleazar eleazar de egennhsen ton matyan matyan de egennhsen ton iakwb,,,And Eliud fathered Eleazar; and Eleazar fathered Matthan; and Matthan fathered Jacob;,And Eliud brings forth Eleazar; and Eleazar brings forth Matthan; and Matthan brings forth Jacob;,tr_literal_pass1,aligned gennao with fathered; rendered general brings-forth as produces
Matthew 1:16,MAT,Matthew,1,16,ιακωβ δε εγεννησεν τον ιωσηφ τον ανδρα μαριας εξ ης εγεννηθη ιησους ο λεγομενος χριστος,iakwb de egennhsen ton iwshf ton andra mariav ex hv egennhyh ihsouv o legomenov cristov,,,"And Jacob fathered Joseph the husband of Mary, of whom was born Jesus, who is called Christ.","And Jacob brings forth Joseph the husband of Mary, of whom was born Jesus, who is called Christ.",tr_literal_pass1,aligned gennao with fathered; rendered general brings-forth as produces
Matthew 1:17,MAT,Matthew,1,17,πασαι ουν αι γενεαι απο αβρααμ εως δαβιδ γενεαι δεκατεσσαρες και απο δαβιδ εως της μετοικεσιας βαβυλωνος γενεαι δεκατεσσαρες και απο της μετοικεσιας βαβυλωνος εως του χριστου γενεαι δεκατεσσαρες,pasai oun ai geneai apo abraam ewv dabid geneai dekatessarev kai apo dabid ewv thv metoikesiav babulwnov geneai dekatessarev kai apo thv metoikesiav babulwnov ewv tou cristou geneai dekatessarev,,,So all the generations from Abraham to David are fourteen generations; and from David until the carrying away into Babylon are fourteen generations; and from the carrying away into Babylon to Christ are fourteen generations.,So all the generations from Abraham to David are fourteen generations; and from David until the carrying away into Babylon are fourteen generations; and from the carrying away into Babylon unto Christ are fourteen generations.,tr_literal_pass1,modernized archaic directional unto
Matthew 1:18,MAT,Matthew,1,18,του δε ιησου χριστου η γεννησις ουτως ην μνηστευθεισης γαρ της μητρος αυτου μαριας τω ιωσηφ πριν η συνελθειν αυτους ευρεθη εν γαστρι εχουσα εκ πνευματος αγιου,tou de ihsou cristou h gennhsiv outwv hn mnhsteuyeishv gar thv mhtrov autou mariav tw iwshf prin h sunelyein autouv eureyh en gastri ecousa ek pneumatov agiou,,,"Now the birth of Jesus Christ was this way: after his mother Mary was betrothed to Joseph, before they came together, she was found having in womb from Holy Spirit.","Now the birth of Jesus Christ was likewise: When as his mother Mary was espoused to Joseph, before they came together, she was found with child of the Holy Spirit. (o. pneuma)",tr_literal_manual,manual TR literal override
Matthew 1:19,MAT,Matthew,1,19,ιωσηφ δε ο ανηρ αυτης δικαιος ων και μη θελων αυτην παραδειγματισαι εβουληθη λαθρα απολυσαι αυτην,iwshf de o anhr authv dikaiov wn kai mh yelwn authn paradeigmatisai eboulhyh layra apolusai authn,,,"Then Joseph her husband, being a just man, and not willing to make her a public example, resolved to release her privately.","Then Joseph her husband, being a just man, and not willing to make her a public example, was minded to put her away privately.",tr_literal_pass1,aligned apoluo with release; modernized was-minded idiom
Matthew 1:20,MAT,Matthew,1,20,ταυτα δε αυτου ενθυμηθεντος ιδου αγγελος κυριου κατ οναρ εφανη αυτω λεγων ιωσηφ υιος δαβιδ μη φοβηθης παραλαβειν μαριαμ την γυναικα σου το γαρ εν αυτη γεννηθεν εκ πνευματος εστιν αγιου,tauta de autou enyumhyentov idou aggelov kuriou kat onar efanh autw legwn iwshf uiov dabid mh fobhyhv paralabein mariam thn gunaika sou to gar en auth gennhyen ek pneumatov estin agiou,,,"But while he thought on these things, look, the angel of the Lord appeared to him in a dream, saying, Joseph, you son of David, do not fear to take to you Mary your wife: for that which is conceived in her is of the Holy Spirit.","But while he thought on these things, behold, the angel of the LORD appeared unto him in a dream, saying, Joseph, you son of David, fear not to take unto you Mary your wife: for that which is conceived in her is of the Holy Spirit. (o. pneuma)",tr_literal_pass1,modernized archaic directional unto; modernized behold; modernized fear-not imperative; normalized NT kurios as Lord; removed UKJV inline Strong-style lexical marker
Matthew 1:21,MAT,Matthew,1,21,τεξεται δε υιον και καλεσεις το ονομα αυτου ιησουν αυτος γαρ σωσει τον λαον αυτου απο των αμαρτιων αυτων,texetai de uion kai kaleseiv to onoma autou ihsoun autov gar swsei ton laon autou apo twn amartiwn autwn,,,"And she shall bear a son, and you shall call his name JESUS: for he shall save his people from their sins.","And she shall bring forth a son, and you shall call his name JESUS: for he shall save his people from their sins.",tr_literal_pass1,modernized childbirth bring-forth idiom
Matthew 1:22,MAT,Matthew,1,22,τουτο δε ολον γεγονεν ινα πληρωθη το ρηθεν υπο του κυριου δια του προφητου λεγοντος,touto de olon gegonen ina plhrwyh to rhyen upo tou kuriou dia tou profhtou legontov,,,"Now all this was done, that it might be fulfilled which was spoken of the Lord by the prophet, saying,","Now all this was done, that it might be fulfilled which was spoken of the Lord by the prophet, saying,",tr_literal_pass1,normalized NT kurios as Lord
Matthew 1:23,MAT,Matthew,1,23,ιδου η παρθενος εν γαστρι εξει και τεξεται υιον και καλεσουσιν το ονομα αυτου εμμανουηλ ο εστιν μεθερμηνευομενον μεθ ημων ο θεος,idou h paryenov en gastri exei kai texetai uion kai kalesousin to onoma autou emmanouhl o estin meyermhneuomenon mey hmwn o yeov,,,"Look, a virgin shall be with child, and shall bear a son, and they shall call his name Emmanuel, which being interpreted is, God with us.","Behold, a virgin shall be with child, and shall bring forth a son, and they shall call his name Emmanuel, which being interpreted is, God with us.",tr_literal_pass1,modernized behold; modernized childbirth bring-forth idiom
Matthew 1:24,MAT,Matthew,1,24,διεγερθεις δε ο ιωσηφ απο του υπνου εποιησεν ως προσεταξεν αυτω ο αγγελος κυριου και παρελαβεν την γυναικα αυτου,diegeryeiv de o iwshf apo tou upnou epoihsen wv prosetaxen autw o aggelov kuriou kai parelaben thn gunaika autou,,,"Then Joseph being raised from sleep did as the angel of the Lord had bidden him, and took to him his wife:","Then Joseph being raised from sleep did as the angel of the Lord had bidden him, and took unto him his wife:",tr_literal_pass1,modernized archaic directional unto; normalized NT kurios as Lord
Matthew 1:25,MAT,Matthew,1,25,και ουκ εγινωσκεν αυτην εως ου ετεκεν τον υιον αυτης τον πρωτοτοκον και εκαλεσεν το ονομα αυτου ιησουν,kai ouk eginwsken authn ewv ou eteken ton uion authv ton prwtotokon kai ekalesen to onoma autou ihsoun,,,And did not know her until she had borne her firstborn son: and he called his name JESUS.,And had sexual contact with her not till she had brought forth her firstborn son: and he called his name JESUS.,tr_literal_pass1,fixed borne grammar; modernized childbirth bring-forth idiom
Matthew 2:1,MAT,Matthew,2,1,του δε ιησου γεννηθεντος εν βηθλεεμ της ιουδαιας εν ημεραις ηρωδου του βασιλεως ιδου μαγοι απο ανατολων παρεγενοντο εις ιεροσολυμα,tou de ihsou gennhyentov en bhyleem thv ioudaiav en hmeraiv hrwdou tou basilewv idou magoi apo anatolwn paregenonto eiv ierosoluma,,,"Now when Jesus was born in Bethlehem of Judea in the days of Herod the king, look, there came Magi from the east to Jerusalem,","Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king, behold, there came wise men from the east to Jerusalem,",tr_literal_pass1,modernized behold; rendered magoi as Magi; standardized Judea spelling
Matthew 2:2,MAT,Matthew,2,2,λεγοντες που εστιν ο τεχθεις βασιλευς των ιουδαιων ειδομεν γαρ αυτου τον αστερα εν τη ανατολη και ηλθομεν προσκυνησαι αυτω,legontev pou estin o tecyeiv basileuv twn ioudaiwn eidomen gar autou ton astera en th anatolh kai hlyomen proskunhsai autw,,,"Saying, Where is the one who is born King of the Jews? for we have seen his star in the east, and have come to worship him.","Saying, Where is he that is born King of the Jews? for we have seen his star in the east, and are come to worship him.",tr_literal_pass1,modernized are-come perfect; modernized he-that relative
Matthew 2:3,MAT,Matthew,2,3,ακουσας δε ηρωδης ο βασιλευς εταραχθη και πασα ιεροσολυμα μετ αυτου,akousav de hrwdhv o basileuv etaracyh kai pasa ierosoluma met autou,,,"When Herod the king had heard these things, he was troubled, and all Jerusalem with him.","When Herod the king had heard these things, he was troubled, and all Jerusalem with him.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Matthew 2:4,MAT,Matthew,2,4,και συναγαγων παντας τους αρχιερεις και γραμματεις του λαου επυνθανετο παρ αυτων που ο χριστος γενναται,kai sunagagwn pantav touv arciereiv kai grammateiv tou laou epunyaneto par autwn pou o cristov gennatai,,,"And when he had gathered all the chief priests and scribes of the people together, he demanded of them where Christ should be born.","And when he had gathered all the chief priests and scribes of the people together, he demanded of them where Christ should be born.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Matthew 2:5,MAT,Matthew,2,5,οι δε ειπον αυτω εν βηθλεεμ της ιουδαιας ουτως γαρ γεγραπται δια του προφητου,oi de eipon autw en bhyleem thv ioudaiav outwv gar gegraptai dia tou profhtou,,,"And they said to him, In Bethlehem of Judea: for thus it is written by the prophet,","And they said unto him, In Bethlehem of Judaea: for thus it is written by the prophet,",tr_literal_pass1,modernized archaic directional unto; standardized Judea spelling
Matthew 2:6,MAT,Matthew,2,6,και συ βηθλεεμ γη ιουδα ουδαμως ελαχιστη ει εν τοις ηγεμοσιν ιουδα εκ σου γαρ εξελευσεται ηγουμενος οστις ποιμανει τον λαον μου τον ισραηλ,kai su bhyleem gh iouda oudamwv elacisth ei en toiv hgemosin iouda ek sou gar exeleusetai hgoumenov ostiv poimanei ton laon mou ton israhl,,,"And you Bethlehem, in the land of Judah, are not the least among the princes of Judah: for out of you shall come a Governor, that shall rule my people Israel.","And you Bethlehem, in the land of Juda, are not the least among the princes of Juda: for out of you shall come a Governor, that shall rule my people Israel.",tr_literal_pass1,standardized Juda as Judah in tribe/land contexts
Matthew 2:7,MAT,Matthew,2,7,τοτε ηρωδης λαθρα καλεσας τους μαγους ηκριβωσεν παρ αυτων τον χρονον του φαινομενου αστερος,tote hrwdhv layra kalesav touv magouv hkribwsen par autwn ton cronon tou fainomenou asterov,,,"Then Herod, when he had privately called the Magi, inquired of them diligently what time the star appeared.","Then Herod, when he had privately called the wise men, enquired of them diligently what time the star appeared.",tr_literal_pass1,modernized enquired spelling; rendered magoi as Magi
Matthew 2:8,MAT,Matthew,2,8,και πεμψας αυτους εις βηθλεεμ ειπεν πορευθεντες ακριβως εξετασατε περι του παιδιου επαν δε ευρητε απαγγειλατε μοι οπως καγω ελθων προσκυνησω αυτω,kai pemqav autouv eiv bhyleem eipen poreuyentev akribwv exetasate peri tou paidiou epan de eurhte apaggeilate moi opwv kagw elywn proskunhsw autw,,,"And he sent them to Bethlehem, and said, Go and search diligently for the young child; and when you have found him, bring me word again, that I may come and worship him also.","And he sent them to Bethlehem, and said, Go and search diligently for the young child; and when all of you have found him, bring me word again, that I may come and worship him also.",tr_literal_pass1,removed UKJV plural-expansion artifact
Matthew 2:9,MAT,Matthew,2,9,οι δε ακουσαντες του βασιλεως επορευθησαν και ιδου ο αστηρ ον ειδον εν τη ανατολη προηγεν αυτους εως ελθων εστη επανω ου ην το παιδιον,oi de akousantev tou basilewv eporeuyhsan kai idou o asthr on eidon en th anatolh prohgen autouv ewv elywn esth epanw ou hn to paidion,,,"When they had heard the king, they departed; and, look, the star, which they saw in the east, went before them, till it came and stood over where the young child was.","When they had heard the king, they departed; and, lo, the star, which they saw in the east, went before them, till it came and stood over where the young child was.",tr_literal_pass1,modernized lo
Matthew 2:10,MAT,Matthew,2,10,ιδοντες δε τον αστερα εχαρησαν χαραν μεγαλην σφοδρα,idontev de ton astera ecarhsan caran megalhn sfodra,,,"When they saw the star, they rejoiced with very great joy.","When they saw the star, they rejoiced with exceeding great joy.",tr_literal_manual,manual TR literal override
