ref_hint,priority_line_count,first_line_number,last_line_number,printed_page_hints,greek_ocr_excerpt,charles_witness_refs,charles_witness_excerpt,charles_comparison_notes,next_review
1 Enoch 1,2,34673,34676,272,"I. Λόγος εὐλογίας Ενώχ, καθὼς εὐλόγησεν ἐκλεκτοὺς δικαίους / τινες ἔσονται εἰς ἡμέραν ἀνάγκης ἐξᾶραι 1 πάντας τοὺς ἐχθρούς 3,",1 Enoch 1:1-1:9,"The words of the blessing of Enoch, wherewith he blessed the elect and righteous, who will be living in the day of tribulation, when all the wicked and godless are to be removed. And he took up his parable and said—Enoch a righteous man, whose eyes were opened by God, saw the vision of the Holy One in the heavens, which the angels showed me, and from them I heard everything, and from them I understood as I saw, but not for this generation, but for a remote one which is for to come. Concerning...",Ethiopic has text absent from G^g/G^s: and; and godless; Ethiopic has text absent from G^g/G^s: which,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 1:2,9,34680,34767,272,"| 2. Καὶ ἀναλαβὼν τὴν παραβολὴν αὐτοῦ εἶπεν' ‘Evox, ἄνθρωπος / καιος, ἔστιν * ὅρασις ὃ ἐκ θεοῦ αὐτῷ ἀνεῳγμένη, ἦν ® ἔχων Ὁ 7 τὴν / ρασιν τοῦ ἁγίου *xal τοῦ οὐρανοῦ ὃ, + ἔδειξέν μοι"" Γκαὶ ἁγιολόγων / [Καὶ] ἐξελεύσεται ὁ ἅγιός Ἷ μου 7 12 ὁ μέγας ἐκ τῆς κατοική-",1 Enoch 1:2,"And he took up his parable and said—Enoch a righteous man, whose eyes were opened by God, saw the vision of the Holy One in the heavens, which the angels showed me, and from them I heard everything, and from them I understood as I saw, but not for this generation, but for a remote one which is for to come.",Ethiopic has text absent from G^g/G^s: which,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 1:8,1,34778,34778,272,"καὶ ἐπὶ τοὺς ἐκλεκτοὺς ἔσται συντήρησις ‘Kal εἰρήνη"",",1 Enoch 1:8,"But with the righteous He will make peace, And will protect the elect, And mercy shall be upon them. And they shall all belong to God, And they shall be prospered, And they shall all be blessed. And He will help them all, And light shall appear unto them, And He will make peace with them.",G^g has text absent from Ethiopic: all; And He will help them all; And He will make peace with them,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 1:9,4,34892,34964,272; 276,"ἂν Adyov'® κατ᾽ αὐτοῦ ἁμαρτω- σκληρῶν ὧν ἐλάλησαν κατ᾽ αὐτοῦ / τῶν ἔργων τῶν ἐν αὐτῇ γινομένων ἀπ᾽ ἀρχῆς μέχρι τελειώσεως, ᾿ OS / εἰσιν φθαρτά,""3 ὡς οὐκ ἀλλοιοῦται ὃ Γοὐδὲν τῶν ἐπὶ γῆς, ἀλλὰ"" πάντι / ἔργα θεοῦ ὑμῖν"" φαίνεται. 3. ἴδετε τὴν θερείαν καὶ τὸν χειμῶνι",1 Enoch 1:9,"And behold! He cometh with ten thousands of His holy ones To execute judgement upon all, And to destroy all the ungodly: And to convict all flesh Of all the works of their ungodliness which they have ungodly committed, And of all the hard things which ungodly sinners have spoken against Him.",G^g has text absent from Ethiopic: His; all; of their ungodliness; And of all the hard things which; have spoken,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 5,9,34967,34983,276,"V. . 2. πῶς τὰ φύλλα χλωρὰ ἐν αὐτοῖς σκέποντα τὰ δένδρα κα / [πᾶς] Ἐ ὁ καρπὸς αὐτῶν 5 [εἰς τιμὴν καὶ δόξαν.] διανοήθητε ‘xa / γνῶτε! περὶ πάντων “tov ἔργων"" αὐτοῦ, καὶ νοήσατε ὅτι [θεὸς ζῶν / ἐποίησεν αὐτὰ οὕτως 7, * καὶ ζῇ ὃ εἰς πάντας τοὺς αἰῶνα"" 2,",1 Enoch 5:1-5:9,"Observe ye how the trees cover themselves with green leaves and bear fruit: wherefore give ye heed and know with regard to all His works, and recognize how He that liveth for ever hath made them so. And all His works go on thus from year to year for ever, and all the tasks which they accomplish for Him, and their tasks change not, but according as God hath ordained so is it done. And behold how the sea and the rivers in like manner accomplish and change not their tasks from His commandments.",G^g has text absent from Ethiopic: and know; His works; Ethiopic has text absent from G^g/G^s: ye; G^g has text absent from Ethiopic: all; thus; for ever; which; their tasks; Ethiopic has text absent from G^g/G^s: God; G^g has text absent from Ethiopic: and change not; from His commandments,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 5:4,3,34987,34991,276,"4. Ὑμεῖς δὲ οὐκ ἐνεμείνατε οὐδὲ ἐποιήσατε κατὰ τὰς ἐντολὰ / ἀλλὰ ἀπέστητε, καὶ κατελαλήσατε μεγάλους καὶ σκληροὺς λόγου: / ἐν στόματι ἀκαθαρσίὰς ὑμῶν κατὰ τῆς μεγαλοσύνης αὐτοῦ. [6",1 Enoch 5:4,"But ye—ye have not been steadfast, nor done the commandments of the Lord, But ye have turned away and spoken proud and hard words With your impure mouths against His greatness. Oh, ye hard-hearted, ye shall find no peace.",,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 5:5,1,35011,35011,276,"θα. Τότε ἔσται"" τὰ ὀνόματα ὑμῶν εἰς κατάραν αἰώνιον πᾶσιν το",1 Enoch 5:5,"Therefore shall ye execrate your days, And the years of your life shall perish, And the years of your destruction shall be multiplied in eternal execration, And ye shall find no mercy. In those days ye shall make your names an eternal execration unto all the righteous, And by you shall all who curse, curse. And all the sinners and godless shall imprecate by you, And for you, the godless, there shall be a curse. And all the ... shall rejoice, And there shall be forgiveness of sins, And every m...","G^g has text absent from Ethiopic: the years of your destruction; all; And all; and godless; And all the ... shall rejoice, _e._ And there shall be forgiveness of sins, _f._ And every mercy and peace and forbearance: _g._ There shall be salvation unto them, a goodly light. _i._ And for all of you sinners there shall be no salvation, _j._ But on you all shall abide a curse","Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 6:6,1,35082,35082,276,"6. ‘kal πάντες} οἱ ἁμαρτωλοὶ Γκαὶ ἀσεβεῖς"" ἐν ὑμῖν ὀμοῦνται,",1 Enoch 6:6,"And they were in all two hundred; who descended in the days of Jared on the summit of Mount Hermon, and they called it Mount Hermon, because they had sworn and bound themselves by mutual imprecations upon it.",G^g has text absent from Ethiopic: in the days; Charles emended text: Jared,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 6:7,4,35095,35109,276,"ἢ, καὶ πᾶσιν ὑμῖν τοῖς ἁμαρτωλοῖς οὐχ ὑπάρξει σωτηρία / καὶ τοῖς ἐκλεκτοῖς ἔσται φῶς καὶ χάρις καὶ εἰρήνη, / καὶ πάντες οὗτοι ζήσονται καὶ οὐ μὴ ἁμαρτήσονται ἔτι / Γκαὶ ἔσται ἐν ἀνθρώπῳ πεφωτισμένῳ φῶς καὶ ἀνθρώπῳ ἐπι-",1 Enoch 6:7,"And these are the names of their leaders: Sêmîazâz, their leader, Arâkîba, Râmêêl, Kôkabîêl, Tâmîêl, Râmîêl, Dânêl, Êzêqêêl, Barâqîjâl, Asâêl, Armârôs, Batârêl, Anânêl, Zaqîêl, Samsâpêêl, Satarêl, Tûrêl, Jômjâêl, Sariêl.",Charles emended text: Sariêl,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
1 Enoch 10:2,3,36599,36612,276,"2. καὶ καθαρισθήσεται 'raca! ἡ γῆ ἀπὸ παντὸς μιάσματος καὶ ἀπὸ / σὴς ἀκαθαρσίας καὶ ὀργῆς καὶ μάστιγος, καὶ οὐκέτι πέμψω ἐπ / λα ρεύοντες οἱ λαοὶ καὶ εὐλογοῦντες πάντες ἐμοὶ καὶ προσκυνοῦντες.",1 Enoch 10:2,"‘Go to Noah and tell him in my name “Hide thyself!”, and reveal to him the end that is approaching: that the whole earth will be destroyed, and a deluge is about to come upon the whole earth, and will destroy all that is on it.",Charles restored text: Go to Noah and,"Verify Greek OCR against page image, then compare with Charles Ethiopic-base witness before drafting."
