family,nt_ref,nt_greek,literal_gloss,relevance,weight,note
into-living-soul-formula,1 Corinthians 15:45,ἐγένετο ὁ πρῶτος ἄνθρωπος Αδαμ εἰς ψυχὴν ζῶσαν,became / the first / man / Adam / into / living / soul,high,3,Direct NT reuse of Genesis 2:7 wording.
name-there-formula,Acts 15:17,ἐφ' οὓς ἐπικέκληται τὸ ὄνομά μου ἐπ' αὐτούς,upon whom / has-been-called / name / of-me / upon / them,high,3,Name-called-upon idiom applied to people in a covenantal setting.
name-there-formula,James 2:7,τὸ καλὸν ὄνομα τὸ ἐπικληθὲν ἐφ' ὑμᾶς,the good name / having-been-called / upon / you,high,3,Close name-called-upon formula.
name-there-formula,Romans 2:17,Ἰουδαῖος ἐπονομάζῃ,Jew / you-are-called,medium,1,Same verb family but not the full cultic formula.
name-upon-formula,Acts 15:17,ἐφ' οὓς ἐπικέκληται τὸ ὄνομά μου ἐπ' αὐτούς,upon whom / has-been-called / name / of-me / upon / them,high,3,Directly relevant to name-upon language.
name-upon-formula,James 2:7,τὸ καλὸν ὄνομα τὸ ἐπικληθὲν ἐφ' ὑμᾶς,the good name / having-been-called / upon / you,high,3,Directly relevant to name-upon language.
call-on-name-formula,Acts 2:21,πᾶς ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου,everyone / whoever / might-call-upon / the name / of-Lord,high,3,Classic NT call-on-the-name formula.
call-on-name-formula,Romans 10:13,πᾶς γὰρ ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου,everyone / for / whoever / might-call-upon / the name / of-Lord,high,3,Classic NT call-on-the-name formula.
call-on-name-formula,1 Corinthians 1:2,πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν,to all / the ones-calling-upon / the name / of the Lord / of-us,high,2,Strong idiom-family support.
call-on-name-formula,2 Timothy 2:22,μετὰ τῶν ἐπικαλουμένων τὸν κύριον,with / the ones-calling-upon / the Lord,medium,2,Related invocation idiom.
