book_code,book_name,status,verse_rows,drafted_rows,remaining_rows,chapter_count,first_ref,last_ref,source_file,source_usfm_id,expected_title,source_validation,source_note_rows,note
TOB,Tobit,not_started,245,0,245,14,Tobit 1:1,Tobit 14:15,41-TOBgrclxx.usfm,TOB,ΤΩΒΙΤ,imported,1,
JDT,Judith,not_started,339,0,339,16,Judith 1:1,Judith 16:25,42-JDTgrclxx.usfm,JDT,ΙΟΥΔΙΘ,imported,0,
ESG,Greek Esther,not_started,219,0,219,10,Greek Esther 1:1α,Greek Esther 10:3λ,43-ESGgrclxx.usfm,ESG,ΕΣΘΗΡ,imported,0,Imported as full Greek Esther for now; additions-only slicing remains a later editorial step.
WIS,Wisdom,not_started,437,0,437,19,Wisdom 1:1,Wisdom 19:22,45-WISgrclxx.usfm,WIS,ΣΟΦΙΑ ΣΟΛΟΜΩΝΤΟΣ,imported,0,
SIR,Sirach,not_started,1378,0,1378,51,Sirach 1:1,Sirach 51:30,46-SIRgrclxx.usfm,SIR,ΣΟΦΙΑ ΣΕΙΡΑΧ,imported,0,
BAR,Baruch,not_started,141,0,141,5,Baruch 1:1,Baruch 5:9,47-BARgrclxx.usfm,BAR,ΒΑΡΟΥΧ,imported,0,
LJE,Letter of Jeremiah,not_started,72,0,72,1,Letter of Jeremiah 1:1,Letter of Jeremiah 1:72,48-LJEgrclxx.usfm,LJE,ΕΠΙΣΤΟΛΗ ΙΕΡΕΜΙΟΥ,imported,0,
S3Y,Song of the Three Young Men,not_started,66,0,66,1,Song of the Three Young Men 1:1,Song of the Three Young Men 1:67,49-S3Ygrclxx.usfm,S3Y,ΠΡΟΣΕΥΧΗ ΑΖΑΡΙΟΥ ΚΑΙ ΥΜΝΟΣ ΤΩΝ ΤΡΙΩΝ,imported,0,
SUS,Susanna,not_started,64,0,64,1,Susanna 1:1,Susanna 1:64,50-SUSgrclxx.usfm,SUS,ΣΩΣΑΝΝΑ,imported,0,
BEL,Bel and the Dragon,not_started,42,0,42,1,Bel and the Dragon 1:1,Bel and the Dragon 1:42,51-BELgrclxx.usfm,BEL,ΒΗΛ ΚΑΙ ΔΡΑΚΩΝ,imported,0,
1MA,1 Maccabees,not_started,917,0,917,16,1 Maccabees 1:1,1 Maccabees 16:24,52-1MAgrclxx.usfm,1MA,ΜΑΚΚΑΒΑΙΩΝ Α,imported,0,
1ES,1 Esdras,not_started,430,0,430,9,1 Esdras 1:1,1 Esdras 9:55,54-1ESgrclxx.usfm,1ES,ΕΣΔΡΑΣ Α,imported,0,
3MA,3 Maccabees,not_started,227,0,227,7,3 Maccabees 1:1,3 Maccabees 7:23,57-3MAgrclxx.usfm,3MA,ΜΑΚΚΑΒΑΙΩΝ Γ,imported,0,
4MA,4 Maccabees,not_started,481,0,481,18,4 Maccabees 1:1,4 Maccabees 18:24,53-2MAgrclxx.usfm,2MA,ΜΑΚΚΑΒΑΙΩΝ Δ,imported,0,"The source package filename/id says 2MA, but the book title is ΜΑΚΚΑΒΑΙΩΝ Δ / 4 Maccabees."
PSA,Psalms,not_started,7,0,7,1,Psalms 151:1,Psalms 151:7,20-PSAgrclxx.usfm,PSA,ΨΑΛΜΟΙ,imported,1,Imported only Psalm 151 from the full Psalms source file.
