ref,priority_score,importance,gate_sources,checked_witnesses,fresh_support,brenton_support,mt_support,differs_all,split_or_mixed,signals,recommendation,fresh_translation,brenton_translation,watch
Exodus 20:24,35,high,"core, nt_watch, phase1",2,1,0,0,0,1,unclear,,"""You shall make me an altar of earth, and upon it you shall sacrifice your whole burnt offerings and your offerings of salvation, your sheep and your calves. In every place where I cause my name to be called, I will come to you and bless you.""","Ye shall make to me an altar of earth; and upon it ye shall sacrifice your whole burnt-offerings, and your peace-offerings, and your sheep and your calves in every place, where I shall record my name; and I will come to thee and bless thee.",yes
Genesis 2:7,28,high,"core, nt_watch, phase1",2,1,0,0,0,1,unclear,,"And God formed the human from dust of the earth and breathed into his face the breath of life, and the human became a living soul.","And God formed the man of dust of the earth, and breathed upon his face the breath of life, and the man became a living soul.",yes
Leviticus 7:32,24,high,"core, phase1",2,0,0,0,0,2,unclear,needs_logos,And you shall give the right arm as a contribution to the priest from your sacrifices of salvation.,and ye shall give the right shoulder for a choice piece to the priest of your sacrifices of peace-offering.,yes
2 Chronicles 12:13,23,high,"core, nt_watch, phase1",2,1,0,0,1,0,unclear,,"And Rehoboam was strengthened in Jerusalem and reigned. Rehoboam was forty-one years old when he began to reign, and he reigned seventeen years in Jerusalem, in the city which the Lord chose from all the tribes of the sons of Israel to have his name called there, and his mother's name was Naamah the Ammonite.","So king Roboam strengthened himself in Jerusalem, and reigned: and Roboam was forty and one years old when he began to reign, and he reigned seventeen years in Jerusalem, in the city which the Lord chose out of all the tribes of the children of Israel to call his name there: and his mother's name was Noomma the Ammanitess.",yes
Leviticus 3:1,23,high,"core, phase1",2,1,0,0,0,1,unclear,,"And if his gift to the Lord is a sacrifice of salvation, if he brings it from the cattle, whether male or female, he shall bring it without blemish before the Lord.","And if his gift to the Lord be a peace-offering, if he should bring it of the oxen, whether it be male or whether it be female, he shall bring it unblemished before the Lord.",yes
2 Samuel 14:17,21,high,"core, phase1",2,1,0,0,0,1,unclear,,"And the woman said, Let the word of my lord the king now be for comfort, because as an angel of God so is my lord the king, to hear the good and the evil, and the Lord your God will be with you.","And the woman said, If now the word of my lord the king be gracious,—well: for as an angel of God, so is my lord the king, to hear good and evil: and the Lord thy God shall be with thee.",yes
Exodus 28:30,21,high,"core, phase1",2,1,0,0,1,0,unclear,,"And you shall put on the breastpiece of judgments the Disclosure and the Truth, and it shall be on Aaron's chest when he goes into the holy place before the Lord. And Aaron shall bear the judgments of the sons of Israel upon his chest before the Lord continually.","and thou shalt put the two circlets on both the shoulders of the ephod in front. And thou shalt put the Manifestation and the Truth on the oracle of judgment; and it shall be on the breast of Aaron, when he goes into the holy place before the Lord; and Aaron shall bear the judgments of the children of Israel on his breast before the Lord continually.",yes
Exodus 3:2,21,high,"core, phase1",2,1,0,0,0,1,unclear,,"Then a messenger of the Lord appeared to him in a flame of fire out of the bush. And he saw that the bush burned with fire, but the bush was not being consumed.","And an angel of the Lord appeared to him in flaming fire out of the bush, and he sees that the bush burns with fire,—but the bush was not consumed.",yes
Leviticus 4:31,21,low,"core, phase1",2,1,0,0,1,0,unclear,,"And he shall remove all the fat, just as the fat is removed from the sacrifice of salvation, and the priest shall offer it on the altar as an aroma of sweet fragrance to the Lord. And the priest shall make atonement for him, and it shall be forgiven him.","And he shall take away all the fat, as the fat is taken away from the sacrifice of peace-offering, and the priest shall offer it on the altar for a smell of sweet savour to the Lord; and the priest shall make atonement for him, and his sin shall be forgiven him.",yes
Exodus 6:3,20,high,"core, phase1",2,1,0,0,0,1,unclear,,"And I appeared to Abraham and Isaac and Jacob as their God, but my name, Lord, I did not make known to them.","And I appeared to Abraam and Isaac and Jacob, being their God, but I did not manifest to them my name Lord.",yes
