family,description,ref,book_name,chapter,verse,greek_text,fresh_translation,bucket,dominant_bucket,dominant_count,family_row_count
call-on-name-formula,"Active invocation formula, calling on the divine name.",1 Kings 18:24,1 Kings,18,24,και βοατε εν ονοματι θεων υμων και εγω επικαλεσομαι εν ονοματι κυριου του θεου μου και εσται ο θεος ος εαν επακουση εν πυρι ουτος θεος και απεκριθησαν πας ο λαος και ειπον καλον το ρημα ο ελαλησας,"And call in the name of your gods, and I will call in the name of the Lord my God, and the god who answers by fire, he is God. And all the people answered and said, Good is the word that you spoke.",call-in-name,call-on-name,5,13
call-on-name-formula,"Active invocation formula, calling on the divine name.",1 Kings 18:25,1 Kings,18,25,και ειπεν ηλιου τοις προφηταις της αισχυνης εκλεξασθε εαυτοις τον μοσχον τον ενα και ποιησατε πρωτοι οτι πολλοι υμεις και επικαλεσασθε εν ονοματι θεου υμων και πυρ μη επιθητε,"And Elijah said to the prophets of the Shame, Choose for yourselves the one calf and prepare it first, because you are many, and call in the name of your god, but put no fire.",call-in-name,call-on-name,5,13
name-there-formula,Name formula with location marker such as 'to have his name called there'.,2 Chronicles 12:13,2 Chronicles,12,13,και κατισχυσεν ροβοαμ εν ιερουσαλημ και εβασιλευσεν και τεσσαρακοντα και ενος ετων ροβοαμ εν τω βασιλευσαι αυτον και επτακαιδεκα ετη εβασιλευσεν εν ιερουσαλημ εν τη πολει η εξελεξατο κυριος επονομασαι το ονομα αυτου εκει εκ πασων φυλων υιων ισραηλ και ονομα της μητρος αυτου νοομμα η αμμανιτις,"And Roboam was strengthened in Ierousalem and reigned. Roboam was forty-one years old when he reigned, and he reigned seventeen years in Ierousalem, in city which Lord chose to name his name there from all tribes of sons of Israel, and name of his mother was Noomma the Ammonite.",name-there,called-there,14,16
name-there-formula,Name formula with location marker such as 'to have his name called there'.,Jeremiah 7:11,Jeremiah,7,11,μη σπηλαιον ληστων ο οικος μου ου επικεκληται το ονομα μου επ' αυτω εκει ενωπιον υμων και εγω ιδου εωρακα λεγει κυριος,"has my house over which my name has been called become den of robbers there before you? And I, behold, have seen, says Lord.",other,called-there,14,16
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,1 Chronicles 16:1,1 Chronicles,16,1,και εισηνεγκαν την κιβωτον του θεου και απηρεισαντο αυτην εν μεσω της σκηνης ης επηξεν αυτη δαυιδ και προσηνεγκαν ολοκαυτωματα και σωτηριου εναντιον του θεου,"And they brought in ark of God and set it in middle of tent which Dauid pitched for it, and they offered whole burnt offerings and peace offerings before God.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,1 Chronicles 16:2,1 Chronicles,16,2,και συνετελεσεν δαυιδ αναφερων ολοκαυτωματα και σωτηριου και ευλογησεν τον λαον εν ονοματι κυριου,And Dauid finished offering whole burnt offerings and peace offerings and blessed people in name of Lord.,peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,1 Chronicles 21:26,1 Chronicles,21,26,και ωκοδομησεν δαυιδ εκει θυσιαστηριον κυριω και ανηνεγκεν ολοκαυτωματα και σωτηριου και εβοησεν προς κυριον και επηκουσεν αυτω εν πυρι εκ του ουρανου επι το θυσιαστηριον της ολοκαυτωσεως και καταναλωσεν την ολοκαυτωσιν,"And Dauid built there altar to Lord and offered whole burnt offerings and peace offerings, and cried out to Lord, and he answered him with fire from heaven upon altar of whole burnt offering and consumed whole burnt offering.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,2 Chronicles 7:7,2 Chronicles,7,7,και ηγιασεν σαλωμων το μεσον της αυλης της εν οικω κυριου οτι εποιησεν εκει τα ολοκαυτωματα και τα στεατα των σωτηριων οτι το θυσιαστηριον το χαλκουν ο εποιησεν σαλωμων ουκ εξεποιει δεξασθαι τα ολοκαυτωματα και τα μαναα και τα στεατα,"And Salomon sanctified middle of court in house of Lord, because there he made whole burnt offerings and fat of peace offerings, because bronze altar which Salomon made was not able to receive whole burnt offerings and grain offerings and fats.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,2 Chronicles 29:35,2 Chronicles,29,35,και η ολοκαυτωσις πολλη εν τοις στεασιν της τελειωσεως του σωτηριου και των σπονδων της ολοκαυτωσεως και κατωρθωθη το εργον εν οικω κυριου,"And whole burnt offering was much, with fats of perfection of peace offering and libations of whole burnt offering, and work in house of Lord was set right.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,2 Chronicles 30:22,2 Chronicles,30,22,και ελαλησεν εζεκιας επι πασαν καρδιαν των λευιτων και των συνιοντων συνεσιν αγαθην τω κυριω και συνετελεσαν την εορτην των αζυμων επτα ημερας θυοντες θυσιας σωτηριου και εξομολογουμενοι τω κυριω θεω των πατερων αυτων,"And Ezekias spoke to every heart of Levites, those understanding good understanding for Lord, and they completed feast of unleavened bread seven days, sacrificing sacrifices of peace offering and giving thanks to Lord God of their fathers.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,2 Chronicles 31:2,2 Chronicles,31,2,και εταξεν εζεκιας τας εφημεριας των ιερεων και των λευιτων και τας εφημεριας εκαστου κατα την εαυτου λειτουργιαν τοις ιερευσιν και τοις λευιταις εις την ολοκαυτωσιν και εις την θυσιαν του σωτηριου και αινειν και εξομολογεισθαι και λειτουργειν εν ταις πυλαις εν ταις αυλαις οικου κυριου,"And Ezekias appointed courses of priests and Levites, each course according to its own service, priests and Levites for whole burnt offering and peace offering and to praise and give thanks and minister at gates in courts of house of Lord.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Amos 5:22,Amos,5,22,διοτι και εαν ενεγκητε μοι ολοκαυτωματα και θυσιας υμων ου προσδεξομαι αυτα και σωτηριου επιφανειας υμων ουκ επιβλεψομαι,"Because even if you bring me your burnt offerings and sacrifices, I will not accept them, and I will not look upon your prominent peace offerings.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Joshua 22:29,Joshua,22,29,μη γενοιτο ουν ημας αποστραφηναι απο κυριου εν ταις σημερον ημεραις αποστηναι απο κυριου ωστε οικοδομησαι ημας θυσιαστηριον τοις καρπωμασιν και ταις θυσιαις σαλαμιν και τη θυσια του σωτηριου πλην του θυσιαστηριου κυριου ο εστιν εναντιον της σκηνης αυτου,"May it never be for us to turn away from the Lord in these days, to revolt from the Lord, so as to build for ourselves an altar for offerings and sacrifices of well-being and the sacrifice of salvation besides the altar of the Lord that is before his tent.",well-being,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 6:14,Numbers,6,14,και προσαξει το δωρον αυτου κυριω αμνον ενιαυσιον αμωμον ενα εις ολοκαυτωσιν και αμναδα ενιαυσιαν αμωμον μιαν εις αμαρτιαν και κριον ενα αμωμον εις σωτηριον,"And he shall bring his gift to the Lord: one unblemished year-old male lamb for a whole burnt offering, and one unblemished year-old ewe lamb for a sin offering, and one unblemished ram for a sacrifice of peace,",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 6:17,Numbers,6,17,και τον κριον ποιησει θυσιαν σωτηριου κυριω επι τω κανω των αζυμων και ποιησει ο ιερευς την θυσιαν αυτου και την σπονδην αυτου,"And he shall make the ram a sacrifice of peace to the Lord with the basket of unleavened bread, and the priest shall make his sacrifice and his libation.",peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 6:18,Numbers,6,18,και ξυρησεται ο ηυγμενος παρα τας θυρας της σκηνης του μαρτυριου την κεφαλην της ευχης αυτου και επιθησει τας τριχας επι το πυρ ο εστιν υπο την θυσιαν του σωτηριου,And the one who vowed shall shave the head of his vow at the doors of the tent of testimony and place the hair of his vow upon the fire that is under the sacrifice of peace.,peace,salvation,43,71
soteria-sacrifice-formula,Cultic σωτηρι- terms in sacrificial context.,Numbers 7:17,Numbers,7,17,και εις θυσιαν σωτηριου δαμαλεις δυο κριους πεντε τραγους πεντε αμναδας ενιαυσιας πεντε τουτο το δωρον ναασσων υιου αμιναδαβ,"and for sacrifice of peace, two cows, five rams, five goats, five yearling ewe lambs. This was the gift of Nahshon son of Amminadab.",peace,salvation,43,71
