family,description,ref,book_name,chapter,verse,greek_text,fresh_translation,bucket,dominant_bucket,dominant_count,family_row_count
call-on-name-formula,"Active invocation formula, calling on the divine name.",1 Kings 8:43,1 Kings,8,43,και συ εισακουση εκ του ουρανου εξ ετοιμου κατοικητηριου σου και ποιησεις κατα παντα οσα αν επικαλεσηται σε ο αλλοτριος οπως γνωσιν παντες οι λαοι το ονομα σου και φοβωνται σε καθως ο λαος σου ισραηλ και γνωσιν οτι το ονομα σου επικεκληται επι τον οικον τουτον ον ωκοδομησα,"then you will hear from heaven from your ready dwelling place and do according to all that the foreigner calls on you for, so that all the peoples of the earth may know your name and fear you as your people Israel do, and may know that your name is called upon this house that I built.",other,call-on-name,5,13
call-on-name-formula,"Active invocation formula, calling on the divine name.",1 Kings 18:24,1 Kings,18,24,και βοατε εν ονοματι θεων υμων και εγω επικαλεσομαι εν ονοματι κυριου του θεου μου και εσται ο θεος ος εαν επακουση εν πυρι ουτος θεος και απεκριθησαν πας ο λαος και ειπον καλον το ρημα ο ελαλησας,"And call in the name of your gods, and I will call in the name of the Lord my God, and the god who answers by fire, he is God. And all the people answered and said, Good is the word that you spoke.",call-in-name,call-on-name,5,13
call-on-name-formula,"Active invocation formula, calling on the divine name.",1 Kings 18:25,1 Kings,18,25,και ειπεν ηλιου τοις προφηταις της αισχυνης εκλεξασθε εαυτοις τον μοσχον τον ενα και ποιησατε πρωτοι οτι πολλοι υμεις και επικαλεσασθε εν ονοματι θεου υμων και πυρ μη επιθητε,"And Elijah said to the prophets of the Shame, Choose for yourselves the one calf and prepare it first, because you are many, and call in the name of your god, but put no fire.",call-in-name,call-on-name,5,13
call-on-name-formula,"Active invocation formula, calling on the divine name.",2 Chronicles 6:33,2 Chronicles,6,33,και εισακουση εκ του ουρανου εξ ετοιμου κατοικητηριου σου και ποιησεις κατα παντα οσα εαν επικαλεσηται σε ο αλλοτριος οπως γνωσιν παντες οι λαοι της γης το ονομα σου και του φοβεισθαι σε ως ο λαος σου ισραηλ και του γνωναι οτι επικεκληται το ονομα σου επι τον οικον τουτον ον ωκοδομησα,"then you shall hear from heaven, from your ready dwelling, and do according to all things whatever foreigner calls upon you for, so that all peoples of earth may know your name and fear you as your people Israel and know that your name is called upon this house which I built.",other,call-on-name,5,13
call-on-name-formula,"Active invocation formula, calling on the divine name.",2 Kings 5:11,2 Kings,5,11,και εθυμωθη ναιμαν και απηλθεν και ειπεν ιδου δη ελεγον οτι εξελευσεται προς με και στησεται και επικαλεσεται εν ονοματι θεου αυτου και επιθησει την χειρα αυτου επι τον τοπον και αποσυναξει το λεπρον,"And Naiman grew angry and went away and said, Behold, I said to myself that he would surely come out to me and stand and call on the name of his God and put his hand on the place and remove the skin-diseased part.",call-on-name,call-on-name,5,13
call-on-name-formula,"Active invocation formula, calling on the divine name.",2 Samuel 20:1,2 Samuel,20,1,και εκει επικαλουμενος υιος παρανομος και ονομα αυτω σαβεε υιος βοχορι ανηρ ο ιεμενι και εσαλπισεν εν τη κερατινη και ειπεν ουκ εστιν ημιν μερις εν δαυιδ ουδε κληρονομια ημιν εν τω υιω ιεσσαι ανηρ εις τα σκηνωματα σου ισραηλ,"And there happened to be there a lawless man, and his name was Sabee son of Bochori, a Jeminaian man. And he sounded the horn and said, We have no share in David, nor inheritance for us in the son of Iessai. Each man to your tents, O Israel.",other,call-on-name,5,13
call-on-name-formula,"Active invocation formula, calling on the divine name.",Isaiah 64:6,Isaiah,64,6,και ουκ εστιν ο επικαλουμενος το ονομα σου και ο μνησθεις αντιλαβεσθαι σου οτι απεστρεψας το προσωπον σου αφ' ημων και παρεδωκας ημας δια τας αμαρτιας ημων,"And there is no one calling on your name and remembering to take hold of you, because you turned your face from us and gave us over because of our sins.",other,call-on-name,5,13
call-on-name-formula,"Active invocation formula, calling on the divine name.",Joel 3:5,Joel,3,5,και εσται πας ος αν επικαλεσηται το ονομα κυριου σωθησεται οτι εν τω ορει σιων και εν ιερουσαλημ εσται ανασωζομενος καθοτι ειπεν κυριος και ευαγγελιζομενοι ους κυριος προσκεκληται,"And it will be that everyone who calls on name of Lord will be saved, because on mount Zion and in Jerusalem there will be survivors, as Lord said, and those bearing good news whom Lord has called.",other,call-on-name,5,13
call-on-name-formula,"Active invocation formula, calling on the divine name.",Psalms 74:2,Psalms,74,2,εξομολογησομεθα σοι ο θεος εξομολογησομεθα και επικαλεσομεθα το ονομα σου,"We will confess to you, O God, we will confess, and we will call on your name.",call-on-name,call-on-name,5,13
call-on-name-formula,"Active invocation formula, calling on the divine name.",Psalms 79:19,Psalms,79,19,και ου μη αποστωμεν απο σου ζωωσεις ημας και το ονομα σου επικαλεσομεθα,"And we will never depart from you; you will make us live, and we will call upon your name.",call-on-name,call-on-name,5,13
call-on-name-formula,"Active invocation formula, calling on the divine name.",Psalms 98:6,Psalms,98,6,μωυσης και ααρων εν τοις ιερευσιν αυτου και σαμουηλ εν τοις επικαλουμενοις το ονομα αυτου επεκαλουντο τον κυριον και αυτος επηκουσεν αυτων,"Moses and Aaron among his priests and Samuel among those calling on his name; they called on Lord, and he heard them.",other,call-on-name,5,13
call-on-name-formula,"Active invocation formula, calling on the divine name.",Psalms 115:4,Psalms,115,4,ποτηριον σωτηριου λημψομαι και το ονομα κυριου επικαλεσομαι,"Cup of salvation I will take, and name of Lord I will call upon.",call-on-name,call-on-name,5,13
call-on-name-formula,"Active invocation formula, calling on the divine name.",Zechariah 13:9,Zechariah,13,9,και διαξω το τριτον δια πυρος και πυρωσω αυτους ως πυρουται το αργυριον και δοκιμω αυτους ως δοκιμαζεται το χρυσιον αυτος επικαλεσεται το ονομα μου καγω επακουσομαι αυτω και ερω λαος μου ουτος εστιν και αυτος ερει κυριος ο θεος μου,"And I will bring third through fire and refine them as silver is refined and test them as gold is tested. He will call on my name, and I will hear him, and I will say, This is my people, and he will say, Lord is my God.",call-on-name,call-on-name,5,13
into-living-soul-formula,"Predicate εἰς ψυχὴν ζῶσαν / into a living soul, especially Genesis 2:7 and its NT echo.",Genesis 2:7,Genesis,2,7,"καὶ ἔπλασεν ὁ Θεὸς τὸν ἄνθρωπον, χοῦν ἀπὸ τῆς γῆς, καὶ ἐνεφύσησεν εἰς τὸ πρόσωπον αὐτοῦ πνοὴν ζωῆς, καὶ ἐγένετο ὁ ἄνθρωπος εἰς ψυχὴν ζῶσαν.","And God formed the human from dust of the earth and breathed into his face the breath of life, and the human became a living soul.",living-soul,living-soul,1,1
name-there-formula,Name formula with location marker such as 'to have his name called there'.,2 Chronicles 6:20,2 Chronicles,6,20,του ειναι οφθαλμους σου ανεωγμενους επι τον οικον τουτον ημερας και νυκτος εις τον τοπον τουτον ον ειπας επικληθηναι το ονομα σου εκει του ακουσαι της προσευχης ης ο παις σου προσευχεται εις τον τοπον τουτον,"that your eyes may be open upon this house day and night, upon this place where you said your name would be called there, to hear prayer which your servant prays toward this place.",called-there,called-there,15,16
