family,description,ref,book_name,chapter,verse,greek_text,fresh_translation,bucket,dominant_bucket,dominant_count,family_row_count,nt_parallel_refs,nt_parallel_greek,nt_parallel_gloss,nt_parallel_notes,nt_parallel_count,nt_parallel_weight
call-on-name-formula,"Active invocation formula, calling on the divine name.",1 Kings 8:43,1 Kings,8,43,και συ εισακουση εκ του ουρανου εξ ετοιμου κατοικητηριου σου και ποιησεις κατα παντα οσα αν επικαλεσηται σε ο αλλοτριος οπως γνωσιν παντες οι λαοι το ονομα σου και φοβωνται σε καθως ο λαος σου ισραηλ και γνωσιν οτι το ονομα σου επικεκληται επι τον οικον τουτον ον ωκοδομησα,"then you will hear from heaven from your ready dwelling place and do according to all that the foreigner calls on you for, so that all the peoples of the earth may know your name and fear you as your people Israel do, and may know that your name is called upon this house that I built.",other,call-on-name,5,13,Acts 2:21; Romans 10:13; 1 Corinthians 1:2; 2 Timothy 2:22,Acts 2:21: πᾶς ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || Romans 10:13: πᾶς γὰρ ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || 1 Corinthians 1:2: πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν || 2 Timothy 2:22: μετὰ τῶν ἐπικαλουμένων τὸν κύριον,Acts 2:21: everyone / whoever / might-call-upon / the name / of-Lord || Romans 10:13: everyone / for / whoever / might-call-upon / the name / of-Lord || 1 Corinthians 1:2: to all / the ones-calling-upon / the name / of the Lord / of-us || 2 Timothy 2:22: with / the ones-calling-upon / the Lord,Acts 2:21: Classic NT call-on-the-name formula. || Romans 10:13: Classic NT call-on-the-name formula. || 1 Corinthians 1:2: Strong idiom-family support. || 2 Timothy 2:22: Related invocation idiom.,4,3
call-on-name-formula,"Active invocation formula, calling on the divine name.",1 Kings 18:24,1 Kings,18,24,και βοατε εν ονοματι θεων υμων και εγω επικαλεσομαι εν ονοματι κυριου του θεου μου και εσται ο θεος ος εαν επακουση εν πυρι ουτος θεος και απεκριθησαν πας ο λαος και ειπον καλον το ρημα ο ελαλησας,"And call in the name of your gods, and I will call in the name of the Lord my God, and the god who answers by fire, he is God. And all the people answered and said, Good is the word that you spoke.",call-in-name,call-on-name,5,13,Acts 2:21; Romans 10:13; 1 Corinthians 1:2; 2 Timothy 2:22,Acts 2:21: πᾶς ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || Romans 10:13: πᾶς γὰρ ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || 1 Corinthians 1:2: πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν || 2 Timothy 2:22: μετὰ τῶν ἐπικαλουμένων τὸν κύριον,Acts 2:21: everyone / whoever / might-call-upon / the name / of-Lord || Romans 10:13: everyone / for / whoever / might-call-upon / the name / of-Lord || 1 Corinthians 1:2: to all / the ones-calling-upon / the name / of the Lord / of-us || 2 Timothy 2:22: with / the ones-calling-upon / the Lord,Acts 2:21: Classic NT call-on-the-name formula. || Romans 10:13: Classic NT call-on-the-name formula. || 1 Corinthians 1:2: Strong idiom-family support. || 2 Timothy 2:22: Related invocation idiom.,4,3
call-on-name-formula,"Active invocation formula, calling on the divine name.",1 Kings 18:25,1 Kings,18,25,και ειπεν ηλιου τοις προφηταις της αισχυνης εκλεξασθε εαυτοις τον μοσχον τον ενα και ποιησατε πρωτοι οτι πολλοι υμεις και επικαλεσασθε εν ονοματι θεου υμων και πυρ μη επιθητε,"And Elijah said to the prophets of the Shame, Choose for yourselves the one calf and prepare it first, because you are many, and call in the name of your god, but put no fire.",call-in-name,call-on-name,5,13,Acts 2:21; Romans 10:13; 1 Corinthians 1:2; 2 Timothy 2:22,Acts 2:21: πᾶς ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || Romans 10:13: πᾶς γὰρ ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || 1 Corinthians 1:2: πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν || 2 Timothy 2:22: μετὰ τῶν ἐπικαλουμένων τὸν κύριον,Acts 2:21: everyone / whoever / might-call-upon / the name / of-Lord || Romans 10:13: everyone / for / whoever / might-call-upon / the name / of-Lord || 1 Corinthians 1:2: to all / the ones-calling-upon / the name / of the Lord / of-us || 2 Timothy 2:22: with / the ones-calling-upon / the Lord,Acts 2:21: Classic NT call-on-the-name formula. || Romans 10:13: Classic NT call-on-the-name formula. || 1 Corinthians 1:2: Strong idiom-family support. || 2 Timothy 2:22: Related invocation idiom.,4,3
call-on-name-formula,"Active invocation formula, calling on the divine name.",2 Chronicles 6:33,2 Chronicles,6,33,και εισακουση εκ του ουρανου εξ ετοιμου κατοικητηριου σου και ποιησεις κατα παντα οσα εαν επικαλεσηται σε ο αλλοτριος οπως γνωσιν παντες οι λαοι της γης το ονομα σου και του φοβεισθαι σε ως ο λαος σου ισραηλ και του γνωναι οτι επικεκληται το ονομα σου επι τον οικον τουτον ον ωκοδομησα,"then you shall hear from heaven, from your ready dwelling, and do according to all things whatever foreigner calls upon you for, so that all peoples of earth may know your name and fear you as your people Israel and know that your name is called upon this house which I built.",other,call-on-name,5,13,Acts 2:21; Romans 10:13; 1 Corinthians 1:2; 2 Timothy 2:22,Acts 2:21: πᾶς ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || Romans 10:13: πᾶς γὰρ ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || 1 Corinthians 1:2: πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν || 2 Timothy 2:22: μετὰ τῶν ἐπικαλουμένων τὸν κύριον,Acts 2:21: everyone / whoever / might-call-upon / the name / of-Lord || Romans 10:13: everyone / for / whoever / might-call-upon / the name / of-Lord || 1 Corinthians 1:2: to all / the ones-calling-upon / the name / of the Lord / of-us || 2 Timothy 2:22: with / the ones-calling-upon / the Lord,Acts 2:21: Classic NT call-on-the-name formula. || Romans 10:13: Classic NT call-on-the-name formula. || 1 Corinthians 1:2: Strong idiom-family support. || 2 Timothy 2:22: Related invocation idiom.,4,3
call-on-name-formula,"Active invocation formula, calling on the divine name.",2 Kings 5:11,2 Kings,5,11,και εθυμωθη ναιμαν και απηλθεν και ειπεν ιδου δη ελεγον οτι εξελευσεται προς με και στησεται και επικαλεσεται εν ονοματι θεου αυτου και επιθησει την χειρα αυτου επι τον τοπον και αποσυναξει το λεπρον,"And Naiman grew angry and went away and said, Behold, I said to myself that he would surely come out to me and stand and call on the name of his God and put his hand on the place and remove the skin-diseased part.",call-on-name,call-on-name,5,13,Acts 2:21; Romans 10:13; 1 Corinthians 1:2; 2 Timothy 2:22,Acts 2:21: πᾶς ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || Romans 10:13: πᾶς γὰρ ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || 1 Corinthians 1:2: πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν || 2 Timothy 2:22: μετὰ τῶν ἐπικαλουμένων τὸν κύριον,Acts 2:21: everyone / whoever / might-call-upon / the name / of-Lord || Romans 10:13: everyone / for / whoever / might-call-upon / the name / of-Lord || 1 Corinthians 1:2: to all / the ones-calling-upon / the name / of the Lord / of-us || 2 Timothy 2:22: with / the ones-calling-upon / the Lord,Acts 2:21: Classic NT call-on-the-name formula. || Romans 10:13: Classic NT call-on-the-name formula. || 1 Corinthians 1:2: Strong idiom-family support. || 2 Timothy 2:22: Related invocation idiom.,4,3
call-on-name-formula,"Active invocation formula, calling on the divine name.",2 Samuel 20:1,2 Samuel,20,1,και εκει επικαλουμενος υιος παρανομος και ονομα αυτω σαβεε υιος βοχορι ανηρ ο ιεμενι και εσαλπισεν εν τη κερατινη και ειπεν ουκ εστιν ημιν μερις εν δαυιδ ουδε κληρονομια ημιν εν τω υιω ιεσσαι ανηρ εις τα σκηνωματα σου ισραηλ,"And there happened to be there a lawless man, and his name was Sabee son of Bochori, a Jeminaian man. And he sounded the horn and said, We have no share in David, nor inheritance for us in the son of Iessai. Each man to your tents, O Israel.",other,call-on-name,5,13,Acts 2:21; Romans 10:13; 1 Corinthians 1:2; 2 Timothy 2:22,Acts 2:21: πᾶς ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || Romans 10:13: πᾶς γὰρ ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || 1 Corinthians 1:2: πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν || 2 Timothy 2:22: μετὰ τῶν ἐπικαλουμένων τὸν κύριον,Acts 2:21: everyone / whoever / might-call-upon / the name / of-Lord || Romans 10:13: everyone / for / whoever / might-call-upon / the name / of-Lord || 1 Corinthians 1:2: to all / the ones-calling-upon / the name / of the Lord / of-us || 2 Timothy 2:22: with / the ones-calling-upon / the Lord,Acts 2:21: Classic NT call-on-the-name formula. || Romans 10:13: Classic NT call-on-the-name formula. || 1 Corinthians 1:2: Strong idiom-family support. || 2 Timothy 2:22: Related invocation idiom.,4,3
call-on-name-formula,"Active invocation formula, calling on the divine name.",Isaiah 64:6,Isaiah,64,6,και ουκ εστιν ο επικαλουμενος το ονομα σου και ο μνησθεις αντιλαβεσθαι σου οτι απεστρεψας το προσωπον σου αφ' ημων και παρεδωκας ημας δια τας αμαρτιας ημων,"And there is no one calling on your name and remembering to take hold of you, because you turned your face from us and gave us over because of our sins.",other,call-on-name,5,13,Acts 2:21; Romans 10:13; 1 Corinthians 1:2; 2 Timothy 2:22,Acts 2:21: πᾶς ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || Romans 10:13: πᾶς γὰρ ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || 1 Corinthians 1:2: πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν || 2 Timothy 2:22: μετὰ τῶν ἐπικαλουμένων τὸν κύριον,Acts 2:21: everyone / whoever / might-call-upon / the name / of-Lord || Romans 10:13: everyone / for / whoever / might-call-upon / the name / of-Lord || 1 Corinthians 1:2: to all / the ones-calling-upon / the name / of the Lord / of-us || 2 Timothy 2:22: with / the ones-calling-upon / the Lord,Acts 2:21: Classic NT call-on-the-name formula. || Romans 10:13: Classic NT call-on-the-name formula. || 1 Corinthians 1:2: Strong idiom-family support. || 2 Timothy 2:22: Related invocation idiom.,4,3
call-on-name-formula,"Active invocation formula, calling on the divine name.",Joel 3:5,Joel,3,5,και εσται πας ος αν επικαλεσηται το ονομα κυριου σωθησεται οτι εν τω ορει σιων και εν ιερουσαλημ εσται ανασωζομενος καθοτι ειπεν κυριος και ευαγγελιζομενοι ους κυριος προσκεκληται,"And it will be that everyone who calls on name of Lord will be saved, because on mount Zion and in Jerusalem there will be survivors, as Lord said, and those bearing good news whom Lord has called.",other,call-on-name,5,13,Acts 2:21; Romans 10:13; 1 Corinthians 1:2; 2 Timothy 2:22,Acts 2:21: πᾶς ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || Romans 10:13: πᾶς γὰρ ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || 1 Corinthians 1:2: πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν || 2 Timothy 2:22: μετὰ τῶν ἐπικαλουμένων τὸν κύριον,Acts 2:21: everyone / whoever / might-call-upon / the name / of-Lord || Romans 10:13: everyone / for / whoever / might-call-upon / the name / of-Lord || 1 Corinthians 1:2: to all / the ones-calling-upon / the name / of the Lord / of-us || 2 Timothy 2:22: with / the ones-calling-upon / the Lord,Acts 2:21: Classic NT call-on-the-name formula. || Romans 10:13: Classic NT call-on-the-name formula. || 1 Corinthians 1:2: Strong idiom-family support. || 2 Timothy 2:22: Related invocation idiom.,4,3
call-on-name-formula,"Active invocation formula, calling on the divine name.",Psalms 74:2,Psalms,74,2,εξομολογησομεθα σοι ο θεος εξομολογησομεθα και επικαλεσομεθα το ονομα σου,"We will confess to you, O God, we will confess, and we will call on your name.",call-on-name,call-on-name,5,13,Acts 2:21; Romans 10:13; 1 Corinthians 1:2; 2 Timothy 2:22,Acts 2:21: πᾶς ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || Romans 10:13: πᾶς γὰρ ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || 1 Corinthians 1:2: πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν || 2 Timothy 2:22: μετὰ τῶν ἐπικαλουμένων τὸν κύριον,Acts 2:21: everyone / whoever / might-call-upon / the name / of-Lord || Romans 10:13: everyone / for / whoever / might-call-upon / the name / of-Lord || 1 Corinthians 1:2: to all / the ones-calling-upon / the name / of the Lord / of-us || 2 Timothy 2:22: with / the ones-calling-upon / the Lord,Acts 2:21: Classic NT call-on-the-name formula. || Romans 10:13: Classic NT call-on-the-name formula. || 1 Corinthians 1:2: Strong idiom-family support. || 2 Timothy 2:22: Related invocation idiom.,4,3
call-on-name-formula,"Active invocation formula, calling on the divine name.",Psalms 79:19,Psalms,79,19,και ου μη αποστωμεν απο σου ζωωσεις ημας και το ονομα σου επικαλεσομεθα,"And we will never depart from you; you will make us live, and we will call upon your name.",call-on-name,call-on-name,5,13,Acts 2:21; Romans 10:13; 1 Corinthians 1:2; 2 Timothy 2:22,Acts 2:21: πᾶς ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || Romans 10:13: πᾶς γὰρ ὃς ἂν ἐπικαλέσηται τὸ ὄνομα κυρίου || 1 Corinthians 1:2: πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν || 2 Timothy 2:22: μετὰ τῶν ἐπικαλουμένων τὸν κύριον,Acts 2:21: everyone / whoever / might-call-upon / the name / of-Lord || Romans 10:13: everyone / for / whoever / might-call-upon / the name / of-Lord || 1 Corinthians 1:2: to all / the ones-calling-upon / the name / of the Lord / of-us || 2 Timothy 2:22: with / the ones-calling-upon / the Lord,Acts 2:21: Classic NT call-on-the-name formula. || Romans 10:13: Classic NT call-on-the-name formula. || 1 Corinthians 1:2: Strong idiom-family support. || 2 Timothy 2:22: Related invocation idiom.,4,3
