current_form,preferred_form,kind,occurrences,sample_refs,meaning,status
Samouēl,Samuel,person,134,"1 Samuel 1:20, 1 Samuel 2:18, 1 Samuel 2:21, 1 Samuel 2:26, 1 Samuel 3:1, 1 Samuel 3:3, 1 Samuel 3:4, 1 Samuel 3:6",Heard of God; God has heard,
Iōnathan,Jonathan,person,89,"1 Samuel 13:2, 1 Samuel 13:3, 1 Samuel 13:16, 1 Samuel 13:22, 1 Samuel 14:1, 1 Samuel 14:3, 1 Samuel 14:4, 1 Samuel 14:6",,
Abessalōm,Absalom,person,70,"2 Samuel 3:3, 2 Samuel 13:1, 2 Samuel 13:4, 2 Samuel 13:20, 2 Samuel 13:22, 2 Samuel 13:23, 2 Samuel 13:24, 2 Samuel 13:25",,
Iōab,Joab,person,60,"1 Samuel 26:6, 2 Samuel 2:13, 2 Samuel 2:14, 2 Samuel 2:18, 2 Samuel 2:22, 2 Samuel 2:24, 2 Samuel 2:26, 2 Samuel 2:27",,
Iōb,Job,person,60,"Job 1:1, Job 1:5, Job 1:8, Job 1:9, Job 1:14, Job 1:16, Job 1:17, Job 1:18",,
Abennēr,Abner,person,57,"1 Samuel 14:50, 1 Samuel 14:51, 1 Samuel 20:25, 1 Samuel 26:5, 1 Samuel 26:7, 1 Samuel 26:14, 1 Samuel 26:15, 2 Samuel 2:8",,
Iōsaphat,Jehoshaphat,person,43,"2 Samuel 8:16, 2 Chronicles 17:1, 2 Chronicles 17:3, 2 Chronicles 17:5, 2 Chronicles 17:10, 2 Chronicles 17:11, 2 Chronicles 17:12, 2 Chronicles 18:1",,
Sampsōn,Samson,person,40,"Judges 13:24, Judges 14:1, Judges 14:3, Judges 14:5, Judges 14:7, Judges 14:10, Judges 14:12, Judges 14:16",,
Iōsias,Josiah,person,32,"2 Kings 21:24, 2 Kings 21:26, 2 Kings 22:1, 2 Kings 22:3, 2 Kings 22:9, 2 Kings 23:16, 2 Kings 23:19, 2 Kings 23:23",,
Amnōn,Amnon,person,29,"2 Samuel 3:2, 2 Samuel 13:1, 2 Samuel 13:2, 2 Samuel 13:3, 2 Samuel 13:4, 2 Samuel 13:6, 2 Samuel 13:7, 2 Samuel 13:8",,
Chebrōn,Hebron,place,29,"1 Samuel 30:31, 2 Samuel 2:1, 2 Samuel 2:2, 2 Samuel 2:3, 2 Samuel 2:11, 2 Samuel 2:13, 2 Samuel 2:32, 2 Samuel 3:2",,
Baithēl,Bethel,place,23,"1 Samuel 10:3, 1 Samuel 13:2, 1 Kings 12:29, 1 Kings 12:32, 1 Kings 13:1, 1 Kings 13:4, 1 Kings 13:10, 1 Kings 13:11",,
Manassēs,Manasseh,person,23,"2 Kings 20:21, 2 Kings 21:1, 2 Kings 21:9, 2 Kings 21:11, 2 Kings 21:16, 2 Kings 21:17, 2 Kings 21:18, 2 Kings 21:20",,
Ierousalēm,Jerusalem,place,22,"1 Samuel 17:54, 2 Samuel 5:5, 2 Samuel 5:6, 2 Samuel 5:13, 2 Samuel 5:14, 2 Samuel 8:7, 2 Samuel 9:13, 2 Samuel 10:14",,
Iiēl,Jeiel,person,22,"1 Chronicles 9:6, 1 Chronicles 11:44, 1 Chronicles 15:18, 1 Chronicles 15:20, 1 Chronicles 15:21, 1 Chronicles 16:5, 1 Chronicles 23:8, 1 Chronicles 23:9",,
Amalēk,Amalek,people/place,18,"1 Samuel 14:48, 1 Samuel 15:2, 1 Samuel 15:3, 1 Samuel 15:5, 1 Samuel 15:6, 1 Samuel 15:7, 1 Samuel 15:8, 1 Samuel 15:12",,
Manōe,Manoah,person,18,"Judges 13:2, Judges 13:8, Judges 13:9, Judges 13:11, Judges 13:12, Judges 13:13, Judges 13:15, Judges 13:16",,
Nēr,Ner,person,15,"1 Samuel 14:50, 1 Samuel 14:51, 1 Samuel 26:5, 2 Samuel 2:8, 2 Samuel 2:12, 2 Samuel 3:23, 2 Samuel 3:25, 2 Samuel 3:28",,
Oziēl,Uzziel,person,15,"1 Chronicles 5:28, 1 Chronicles 6:3, 1 Chronicles 7:7, 1 Chronicles 15:10, 1 Chronicles 15:18, 1 Chronicles 15:20, 1 Chronicles 16:6, 1 Chronicles 23:12",,
Thēmar,Tamar,person,15,"2 Samuel 13:1, 2 Samuel 13:2, 2 Samuel 13:4, 2 Samuel 13:5, 2 Samuel 13:6, 2 Samuel 13:7, 2 Samuel 13:8, 2 Samuel 13:10",,
Iōatham,Jotham,person,14,"2 Kings 15:5, 2 Kings 15:7, 2 Kings 15:30, 2 Kings 15:32, 2 Kings 15:36, 2 Kings 15:38, 2 Kings 16:1, 1 Chronicles 5:17",,
Asaēl,Asahel,person,13,"2 Samuel 2:18, 2 Samuel 2:19, 2 Samuel 2:20, 2 Samuel 2:21, 2 Samuel 2:22, 2 Samuel 2:23, 2 Samuel 2:30, 2 Samuel 2:32",,
