ref,book_name,chapter,verse,priority_score,importance,category,fresh_translation,mt_translation,brenton_translation,fresh_mt_ratio,fresh_brenton_ratio
Exodus 1:3,Exodus,1,3,0,none,same_as_mt_differs_from_brenton,"Issachar, Zebulun, and Benjamin,","Issachar, Zebulun, and Benjamin,","Issachar, Zabulon, Benjamin,",1.000,0.852
Exodus 1:4,Exodus,1,4,0,none,same_as_mt_differs_from_brenton,"Dan and Naphtali, Gad and Asher.","Dan, and Naphtali, Gad, and Asher.","Dan and Nephthalim, Gad and Aser.",1.000,0.918
Genesis 21:24,Genesis,21,24,0,none,same_as_mt_differs_from_brenton,"And Abraham said, I will swear.","And Abraham said, I will swear.","And Abraam said, I will swear.",1.000,0.982
Genesis 21:28,Genesis,21,28,0,none,same_as_mt_differs_from_brenton,And Abraham set seven ewe-lambs of the flock by themselves.,And Abraham set seven ewe lambs of the flock by themselves.,And Abraam set seven ewe-lambs by themselves.,1.000,0.863
Genesis 24:34,Genesis,24,34,0,none,same_as_mt_differs_from_brenton,"And he said, I am Abraham's servant.","And he said, I am Abraham's servant.","And he said, I am a servant of Abraam;",1.000,0.754
Genesis 29:18,Genesis,29,18,0,none,same_as_mt_differs_from_brenton,"And Jacob loved Rachel and said, I will serve you seven years for Rachel your younger daughter.","And Jacob loved Rachel; and said, I will serve you seven years for Rachel your younger daughter.","And Jacob loved Rachel, and said, I will serve thee seven years for thy younger daughter Rachel.",1.000,0.871
Genesis 38:6,Genesis,38,6,0,none,same_as_mt_differs_from_brenton,"And Judah took a wife for Er his firstborn, whose name was Tamar.","And Judah took a wife for Er his firstborn, whose name was Tamar.","And Judas took a wife for Er his first-born, whose name was Thamar.",1.000,0.969
Genesis 47:7,Genesis,47,7,0,none,same_as_mt_differs_from_brenton,"And Joseph brought in Jacob his father and set him before Pharaoh, and Jacob blessed Pharaoh.","And Joseph brought in Jacob his father, and set him before Pharaoh: and Jacob blessed Pharaoh.","And Joseph brought in Jacob his father, and set him before Pharao; and Jacob blessed Pharao.",1.000,0.989
Genesis 9:28,Genesis,9,28,0,none,same_as_mt_differs_from_brenton,And Noah lived after the flood three hundred and fifty years.,And Noah lived after the flood three hundred and fifty years.,And Noe lived after the flood three hundred and fifty years.,1.000,0.975
Genesis 9:29,Genesis,9,29,0,none,same_as_mt_differs_from_brenton,"And all the days of Noah were nine hundred and fifty years, and he died.",And all the days of Noah were nine hundred and fifty years: and he died.,"And all the days of Noe were nine hundred and fifty years, and he died.",1.000,0.978
Leviticus 14:27,Leviticus,14,27,0,none,same_as_mt_differs_from_brenton,And the priest shall sprinkle with his right finger some of the oil that is in his left hand seven times before the Lord.,And the priest shall sprinkle with his right finger some of the oil that is in his left hand seven times before the LORD:,And the priest shall sprinkle with the finger of his right hand some of the oil that is in his left hand seven times before the Lord.,1.000,0.913
Numbers 3:2,Numbers,3,2,0,none,same_as_mt_differs_from_brenton,"And these are the names of the sons of Aaron: Nadab the firstborn, and Abihu, Eleazar, and Ithamar.","And these are the names of the sons of Aaron; Nadab the firstborn, and Abihu, Eleazar, and Ithamar.","And these are the names of the sons of Aaron; Nadab the first-born; and Abiud, Eleazar and Ithamar.",1.000,0.984
Numbers 5:16,Numbers,5,16,0,none,same_as_mt_differs_from_brenton,And the priest shall bring her near and set her before the Lord.,"And the priest shall bring her near, and set her before the LORD:","And the priest shall bring her, and cause her to stand before the Lord.",1.000,0.864
