ref,book_name,chapter,verse,fresh_translation,brenton_translation,same_normalized,decision_count,footnote_count,importance
Exodus 1:1,Exodus,1,1,These are the names of the sons of Israel who entered into Egypt with Jacob their father; each entered with his whole household.,These are the names of the sons of Israel that came into Egypt together with Jacob their father; they came in each with their whole family.,no,0,0,low
Exodus 1:2,Exodus,1,2,"Reuben, Simeon, Levi, Judah,","Ruben, Simeon, Levi, Judas,",no,0,0,low
Exodus 1:3,Exodus,1,3,"Issachar, Zebulun, and Benjamin,","Issachar, Zabulon, Benjamin,",no,0,0,low
Exodus 1:4,Exodus,1,4,"Dan and Naphtali, Gad and Asher.","Dan and Nephthalim, Gad and Aser.",no,0,0,low
Exodus 1:5,Exodus,1,5,But Joseph was in Egypt. And all the persons from Jacob were seventy-five.,But Joseph was in Egypt. And all the souls born of Jacob were seventy-five.,no,1,1,high
Exodus 1:6,Exodus,1,6,"And Joseph died, and all his brothers, and all that generation.","And Joseph died, and all his brethren, and all that generation.",no,0,0,low
Exodus 1:7,Exodus,1,7,"But the sons of Israel increased and multiplied and became numerous, and they grew exceedingly, exceedingly strong; and the land multiplied them.","And the children of Israel increased and multiplied, and became numerous and grew exceedingly strong, and the land multiplied them.",no,2,1,high
Exodus 1:8,Exodus,1,8,Then another king arose over Egypt who did not know Joseph.,"And there arose up another king over Egypt, who knew not Joseph.",no,0,0,low
Exodus 1:9,Exodus,1,9,"And he said to his people, 'Look, the race of the sons of Israel is a great multitude and stronger than we are.'","And he said to his nation, Behold, the race of the children of Israel is a great multitude, and is stronger than we:",no,0,0,low
Exodus 1:10,Exodus,1,10,"Come then, let us deal shrewdly with them, lest they multiply, and whenever war comes upon us, they too will be added to our enemies and fight against us and depart from the land.","come then, let us deal craftily with them, lest at any time they be increased, and whensoever war shall happen to us, these also shall be added to our enemies, and having prevailed against us in war, they will depart out of the land.",no,1,1,high
Exodus 1:11,Exodus,1,11,"So he set over them overseers of labor to afflict them in their labors; and they built fortified cities for Pharaoh: Pithom, Ramesses, and On, which is Heliopolis.","And he set over them task-masters, who should afflict them in their works; and they built strong cities for Pharao, both Pitho, and Ramesses, and On, which is Heliopolis.",no,0,0,medium
Exodus 1:12,Exodus,1,12,"But as much as they humbled them, so much more they became many and grew exceedingly, exceedingly strong, and the Egyptians were disgusted by the sons of Israel.","But as they humbled them, by so much they multiplied, and grew exceedingly strong; and the Egyptians greatly abhorred the children of Israel.",no,0,0,medium
Exodus 1:13,Exodus,1,13,And the Egyptians oppressed the sons of Israel by force.,And the Egyptians tyrannised over the children of Israel by force.,no,0,0,low
Exodus 1:14,Exodus,1,14,"And they made their life bitter with hard labors, in clay and in brick-making and in every field-labor, according to all the work by which they enslaved them with violence.","And they embittered their life by hard labours, in the clay and in brick-making, and all the works in the plains, according to all the works, wherein they caused them to serve with violence.",no,1,1,high
Exodus 1:15,Exodus,1,15,"And the king of Egypt spoke to the Hebrew midwives; the name of the one was Sepphora, and the name of the second, Phua.","And the king of the Egyptians spoke to the midwives of the Hebrews; the name of the one was, Sepphora; and the name of the second, Phua.",no,0,0,low
Exodus 1:16,Exodus,1,16,"And he said, 'When you serve as midwives for the Hebrew women and they are at the time of giving birth, if it is a male, kill it; but if a female, keep it alive.'","And he said, When ye do the office of midwives to the Hebrew women, and they are about to be delivered, if it be a male, kill it; but if a female, save it.",no,0,0,low
Exodus 1:17,Exodus,1,17,"But the midwives feared God and did not do as the king of Egypt ordered them, and they kept the male children alive.","But the midwives feared God, and did not as the king of Egypt appointed them; and they saved the male children alive.",no,0,0,low
Exodus 1:18,Exodus,1,18,"So the king of Egypt called the midwives and said to them, 'Why have you done this thing and kept the male children alive?'","And the king of Egypt called the midwives, and said to them, Why is it that ye have done this thing, and saved the male children alive?",no,0,0,low
Exodus 1:19,Exodus,1,19,"And the midwives said to Pharaoh, 'The Hebrew women are not like the women of Egypt, for before the midwives can go in to them, they give birth.'","And the midwives said to Pharao, The Hebrew women are not as the women of Egypt, for they are delivered before the midwives go in to them. So they bore children.",no,0,0,low
Exodus 1:20,Exodus,1,20,"And God did well to the midwives, and the people multiplied and grew very strong.","And God did well to the midwives, and the people multiplied, and grew very strong.",yes,0,0,none
Exodus 1:21,Exodus,1,21,"And because the midwives feared God, they established households for themselves.","And as the midwives feared God, they established for themselves families.",no,1,1,high
Exodus 1:22,Exodus,1,22,"Then Pharaoh charged all his people, saying, 'Every male that is born to the Hebrews, throw it into the river; but keep every female alive.'","And Pharao charged all his people, saying, Whatever male child shall be born to the Hebrews, cast into the river; and every female, save it alive.",no,0,0,low
Exodus 2:1,Exodus,2,1,Now a certain man from the tribe of Levi went and took one of the daughters of Levi.,"And there was a certain man of the tribe of Levi, who took to wife one of the daughters of Levi.",no,0,0,medium
Exodus 2:2,Exodus,2,2,"And she conceived and bore a male child, and seeing that he was beautiful, they hid him three months.","And she conceived, and bore a male child; and having seen that he was fair, they hid him three months.",no,0,0,low
Exodus 2:3,Exodus,2,3,"But when they could no longer hide him, his mother took for him a basket and coated it with bitumen and pitch, and she put the child into it and set it in the reeds by the river.","And when they could no longer hide him, his mother took for him an ark, and besmeared it with bitumen, and cast the child into it, and put it in the ooze by the river.",no,1,1,high
Exodus 2:4,Exodus,2,4,And his sister kept watch from a distance to learn what would happen to him.,"And his sister was watching from a distance, to learn what would happen to him.",no,0,0,medium
Exodus 2:5,Exodus,2,5,"Then Pharaoh's daughter came down to bathe at the river, and her young women were walking along beside the river. Seeing the basket in the reeds, she sent her maid and took it.","And the daughter of Pharao came down to the river to bathe; and her maids walked by the river's side, and having seen the ark in the ooze, she sent her maid, and took it up.",no,0,0,low
Exodus 2:6,Exodus,2,6,"And when she opened it, she sees a child crying in the basket. And Pharaoh's daughter had compassion on him and said, 'This is one of the Hebrews' children.'","And having opened it, she sees the babe weeping in the ark: and the daughter of Pharao had compassion on it, and said, This is one of the Hebrews' children.",no,0,0,low
Exodus 2:7,Exodus,2,7,"Then his sister said to Pharaoh's daughter, 'Do you want me to call a nursing woman from the Hebrews, and she will nurse the child for you?'","And his sister said to the daughter of Pharao, Wilt thou that I call to thee a nurse of the Hebrews, and shall she suckle the child for thee?",no,0,0,medium
Exodus 2:8,Exodus,2,8,"And Pharaoh's daughter said to her, 'Go.' So the young woman went and called the child's mother.","And the daughter of Pharao said, Go: and the young woman went, and called the mother of the child.",no,0,0,medium
Exodus 2:9,Exodus,2,9,"And Pharaoh's daughter said to her, 'Keep this child for me and nurse him for me, and I will give you your wages.' So the woman took the child and nursed him.","And the daughter of Pharao said to her, Take care of this child, and suckle it for me, and I will give thee the wages; and the woman took the child, and suckled it.",no,0,0,medium
Exodus 2:10,Exodus,2,10,"And when the child grew strong, she brought him to Pharaoh's daughter, and he became her son. And she called his name Moses, saying, 'For I drew him out of the water.'","And when the boy was grown, she brought him to the daughter of Pharao, and he became her son; and she called his name, Moses, saying, I took him out of the water.",no,1,1,high
Exodus 2:11,Exodus,2,11,"Now in those many days, when Moses had grown great, he went out to his brothers, the sons of Israel. And observing their hardship, he saw an Egyptian striking a certain Hebrew, one of his own brothers from the sons of Israel.","And it came to pass in that length of time, that Moses having grown, went out to his brethren the sons of Israel: and having noticed their distress, he sees an Egyptian smiting a certain Hebrew of his brethren the children of Israel.",no,1,1,high
Exodus 2:12,Exodus,2,12,"And looking this way and that way, he saw no one, so he struck the Egyptian and hid him in the sand.","And having looked round this way and that way, he sees no one; and he smote the Egyptian, and hid him in the sand.",no,0,0,low
