ref,book_code,greek_text,draft_translation,ukjv_translation,review_status,review_notes
Revelation 12:1,REV,και σημειον μεγα ωφθη εν τω ουρανω γυνη περιβεβλημενη τον ηλιον και η σεληνη υποκατω των ποδων αυτης και επι της κεφαλης αυτης στεφανος αστερων δωδεκα,"And there appeared a great wonder in heaven; a woman clothed with the sun, and the moon under her feet, and upon her head a crown of twelve stars:","And there appeared a great wonder in heaven; a woman clothed with the sun, and the moon under her feet, and upon her head a crown of twelve stars:",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 12:2,REV,και εν γαστρι εχουσα κραζει ωδινουσα και βασανιζομενη τεκειν,"And she being with child cried, travailing in birth, and pained to be delivered.","And she being with child cried, travailing in birth, and pained to be delivered.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 12:6,REV,και η γυνη εφυγεν εις την ερημον οπου εχει τοπον ητοιμασμενον απο του θεου ινα εκει τρεφωσιν αυτην ημερας χιλιας διακοσιας εξηκοντα,"And the woman fled into the wilderness, where she has a place prepared of God, that they should feed her there a thousand two hundred and threescore days.","And the woman fled into the wilderness, where she has a place prepared of God, that they should feed her there a thousand two hundred and threescore days.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 12:7,REV,και εγενετο πολεμος εν τω ουρανω ο μιχαηλ και οι αγγελοι αυτου επολεμησαν κατα του δρακοντος και ο δρακων επολεμησεν και οι αγγελοι αυτου,"And there was war in heaven: Michael and his angels fought against the dragon; and the dragon fought and his angels,","And there was war in heaven: Michael and his angels fought against the dragon; and the dragon fought and his angels,",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 12:9,REV,και εβληθη ο δρακων ο μεγας ο οφις ο αρχαιος ο καλουμενος διαβολος και ο σατανας ο πλανων την οικουμενην ολην εβληθη εις την γην και οι αγγελοι αυτου μετ αυτου εβληθησαν,"And the great dragon was cast out, that old serpent, called the Devil, and Satan, which deceives the whole world: he was cast out into the earth, and his angels were cast out with him.","And the great dragon was cast out, that old serpent, called the Devil, and Satan, which deceives the whole world: he was cast out into the earth, and his angels were cast out with him.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 12:14,REV,και εδοθησαν τη γυναικι δυο πτερυγες του αετου του μεγαλου ινα πετηται εις την ερημον εις τον τοπον αυτης οπου τρεφεται εκει καιρον και καιρους και ημισυ καιρου απο προσωπου του οφεως,"And to the woman were given two wings of a great eagle, that she might fly into the wilderness, into her place, where she is nourished for a time, and times, and half a time, from the face of the serpent.","And to the woman were given two wings of a great eagle, that she might fly into the wilderness, into her place, where she is nourished for a time, and times, and half a time, from the face of the serpent.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 12:15,REV,και εβαλεν ο οφις οπισω της γυναικος εκ του στοματος αυτου υδωρ ως ποταμον ινα ταυτην ποταμοφορητον ποιηση,"And the serpent cast out of his mouth water as a flood after the woman, that he might cause her to be carried away of the flood.","And the serpent cast out of his mouth water as a flood after the woman, that he might cause her to be carried away of the flood.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 12:16,REV,και εβοηθησεν η γη τη γυναικι και ηνοιξεν η γη το στομα αυτης και κατεπιεν τον ποταμον ον εβαλεν ο δρακων εκ του στοματος αυτου,"And the earth helped the woman, and the earth opened her mouth, and swallowed up the flood which the dragon cast out of his mouth.","And the earth helped the woman, and the earth opened her mouth, and swallowed up the flood which the dragon cast out of his mouth.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 13:1,REV,και εσταθην επι την αμμον της θαλασσης και ειδον εκ της θαλασσης θηριον αναβαινον εχον κεφαλας επτα και κερατα δεκα και επι των κερατων αυτου δεκα διαδηματα και επι τας κεφαλας αυτου ονομα βλασφημιας,"And I stood upon the sand of the sea, and saw a beast rise up out of the sea, having seven heads and ten horns, and upon his horns ten crowns, and upon his heads the name of blasphemy.","And I stood upon the sand of the sea, and saw a beast rise up out of the sea, having seven heads and ten horns, and upon his horns ten crowns, and upon his heads the name of blasphemy.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 13:3,REV,και ειδον μιαν των κεφαλων αυτου ως εσφαγμενην εις θανατον και η πληγη του θανατου αυτου εθεραπευθη και εθαυμασεν ολη η γη οπισω του θηριου,And I saw one of his heads as it were wounded to death; and his deadly wound was healed: and all the world wondered after the beast.,And I saw one of his heads as it were wounded to death; and his deadly wound was healed: and all the world wondered after the beast.,needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 13:11,REV,και ειδον αλλο θηριον αναβαινον εκ της γης και ειχεν κερατα δυο ομοια αρνιω και ελαλει ως δρακων,"And I beheld another beast coming up out of the earth; and he had two horns like a lamb, and he spoke as a dragon.","And I beheld another beast coming up out of the earth; and he had two horns like a lamb, and he spoke as a dragon.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 13:13,REV,και ποιει σημεια μεγαλα ινα και πυρ ποιη καταβαινειν εκ του ουρανου εις την γην ενωπιον των ανθρωπων,"And he does great wonders, so that he makes fire come down from heaven on the earth in the sight of men,","And he does great wonders, so that he makes fire come down from heaven on the earth in the sight of men,",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 14:2,REV,και ηκουσα φωνην εκ του ουρανου ως φωνην υδατων πολλων και ως φωνην βροντης μεγαλης και φωνην ηκουσα κιθαρωδων κιθαριζοντων εν ταις κιθαραις αυτων,"And I heard a voice from heaven, as the voice of many waters, and as the voice of a great thunder: and I heard the voice of harpers harping with their harps:","And I heard a voice from heaven, as the voice of many waters, and as the voice of a great thunder: and I heard the voice of harpers harping with their harps:",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 14:5,REV,και εν τω στοματι αυτων ουχ ευρεθη δολος αμωμοι γαρ εισιν ενωπιον του θρονου του θεου,And in their mouth was found no guile: for they are without fault before the throne of God.,And in their mouth was found no guile: for they are without fault before the throne of God.,needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 14:17,REV,και αλλος αγγελος εξηλθεν εκ του ναου του εν τω ουρανω εχων και αυτος δρεπανον οξυ,"And another angel came out of the temple which is in heaven, he also having a sharp sickle.","And another angel came out of the temple which is in heaven, he also having a sharp sickle.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 14:19,REV,και εβαλεν ο αγγελος το δρεπανον αυτου εις την γην και ετρυγησεν την αμπελον της γης και εβαλεν εις την ληνον του θυμου του θεου την μεγαλην,"And the angel thrust in his sickle into the earth, and gathered the vine of the earth, and cast it into the great winepress of the wrath of God.","And the angel thrust in his sickle into the earth, and gathered the vine of the earth, and cast it into the great winepress of the wrath of God.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 15:6,REV,και εξηλθον οι επτα αγγελοι εχοντες τας επτα πληγας εκ του ναου ενδεδυμενοι λινον καθαρον και λαμπρον και περιεζωσμενοι περι τα στηθη ζωνας χρυσας,"And the seven angels came out of the temple, having the seven plagues, clothed in pure and white linen, and having their breasts girded with golden girdles.","And the seven angels came out of the temple, having the seven plagues, clothed in pure and white linen, and having their breasts girded with golden girdles.",needs_focused_tr_review,UKJV seed retained; needs focused Greek review
Revelation 16:16,REV,και συνηγαγεν αυτους εις τον τοπον τον καλουμενον εβραιστι αρμαγεδδων,And he gathered them together into a place called in the Hebrew tongue Armageddon.,And he gathered them together into a place called in the Hebrew tongue Armageddon.,needs_focused_tr_review,UKJV seed retained; needs focused Greek review
