ref,book_name,chapter,verse,importance,priority_score,decision_count,footnote_count,nt_parallel_count,nt_parallel_weight,nt_parallel_refs,crossref_top_vote,crossref_nt_count,crossref_shared_family_hits,english_witness_checked,english_witness_fresh_support,english_witness_brenton_support,english_witness_mt_support,english_witness_differs_all,english_witness_split_or_mixed,english_witness_signals,english_witness_recommendation,nt_english_checked,nt_english_support_family,nt_english_softens_family,nt_english_mixed,nt_english_signals,nt_english_recommendation,logos_local_checked,logos_local_scopes,logos_local_source_tools,logos_local_signals,logos_local_supports,logos_local_confidence,logos_local_recommendation,consensus_recommendation,keyword_hits,reasons,fresh_translation,brenton_translation,_source_index
Genesis 1:2,Genesis,1,2,high,21,4,1,0,0,,97,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,Genesis 1:2,AutoComplete.db WordSense; recent history; local index inspection,lexical_support,Spirit of God rendering,medium,keep,keep,"abyss, god, spirit","decisions=4; footnotes=1; importance=high; keywords=abyss, god, spirit; crossref_top_vote=97; logos=1; logos_reco=keep; logos_flags=lexical_support; logos_support=Spirit of God rendering; reco=keep","Now the earth was unseen and unformed, darkness was over the abyss, and the Spirit of God moved over the water.","But the earth was unsightly and unfurnished, and darkness was over the deep, and the Spirit of God moved over the water.",1
Genesis 1:5,Genesis,1,5,high,19,2,1,0,0,,26,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"day one, god","decisions=2; footnotes=1; importance=high; keywords=day one, god; crossref_top_vote=26","And God called the light Day, and the darkness he called Night. And evening came, and morning came: day one.","And God called the light Day, and the darkness he called Night, and there was evening and there was morning, the first day.",2
Genesis 1:26,Genesis,1,26,high,20,2,1,0,0,,82,3,0,2,2,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"god, image","decisions=2; footnotes=1; importance=high; keywords=god, image; crossref_top_vote=82; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; reco=keep","And God said, 'Let us make humankind according to our image and according to likeness, and let them rule the fish of the sea and the birds of Heaven and the livestock and all the earth and every creeping thing that creeps on the earth.'","And God said, Let us make man according to our image and likeness, and let them have dominion over the fish of the sea, and over the flying creatures of heaven, and over the cattle and all the earth, and over all the reptiles that creep on the earth.",3
Genesis 2:7,Genesis,2,7,high,28,3,2,1,3,1 Corinthians 15:45,41,3,0,2,1,0,0,0,1,unclear,,3,2,0,1,"literal_support, smoothing",keep,1,into-living-soul-formula,AutoComplete.db WordSense; milestones/headwords; local index inspection,lexical_support,living soul rendering,medium,keep,keep,"god, soul","decisions=3; footnotes=2; importance=high; keywords=god, soul; nt=1 Corinthians 15:45; crossref_top_vote=41; eng=fresh:1/brenton:0/mt:0; eng_flags=unclear; nt_eng=support:2/soften:0/mixed:1; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing; logos=1; logos_reco=keep; logos_flags=lexical_support; logos_support=living soul rendering; reco=keep","And God formed the human from dust of the earth and breathed into his face the breath of life, and the human became a living soul.","And God formed the man of dust of the earth, and breathed upon his face the breath of life, and the man became a living soul.",4
Exodus 3:2,Exodus,3,2,high,19,1,1,0,0,,17,3,0,2,1,0,0,0,1,unclear,keep,0,0,0,0,,,0,,,,,,,keep,"angel, being, lord","decisions=1; footnotes=1; importance=high; keywords=angel, being, lord; crossref_top_vote=17; eng=fresh:1/brenton:0/mt:0; eng_reco=keep; eng_flags=unclear; reco=keep","Then an angel of the Lord appeared to him in a flame of fire out of the bush. And he saw that the bush burned with fire, but the bush was not being consumed.","And an angel of the Lord appeared to him in flaming fire out of the bush, and he sees that the bush burns with fire,—but the bush was not consumed.",6
Exodus 6:3,Exodus,6,3,high,20,1,1,0,0,,14,0,0,2,1,0,0,0,1,unclear,,0,0,0,0,,,0,,,,,,,,"being, god, lord, name","decisions=1; footnotes=1; importance=high; keywords=being, god, lord, name; crossref_top_vote=14; eng=fresh:1/brenton:0/mt:0; eng_flags=unclear","And I appeared to Abraham and Isaac and Jacob as their God, but my name, Lord, I did not make known to them.","And I appeared to Abraam and Isaac and Jacob, being their God, but I did not manifest to them my name Lord.",7
Leviticus 18:21,Leviticus,18,21,high,19,1,1,0,0,,10,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"holy, lord, name, seed","decisions=1; footnotes=1; importance=high; keywords=holy, lord, name, seed; crossref_top_vote=10","And from your seed you shall not give to serve a ruler, and you shall not profane my holy name. I am the Lord.",And thou shalt not give of thy seed to serve a ruler; and thou shalt not profane my holy name; I am the Lord.,17
Numbers 9:13,Numbers,9,13,high,17,1,1,0,0,,5,3,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"lord, sin, soul","decisions=1; footnotes=1; importance=high; keywords=lord, sin, soul; crossref_top_vote=5","But the man who is clean and is not on a far journey and yet neglects to keep the Passover, that soul shall be cut off from its people, because he did not bring the Lord's gift at its appointed time. That man shall bear his sin.","And whatsoever man shall be clean, and is not far off on a journey, and shall fail to keep the passover, that soul shall be cut off from his people, because he has not offered the gift to the Lord in its season: that man shall bear his iniquity.",20
Numbers 18:19,Numbers,18,19,high,18,1,1,0,0,,6,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"covenant, holy, lord, seed","decisions=1; footnotes=1; importance=high; keywords=covenant, holy, lord, seed; crossref_top_vote=6","All the contributions of the holy things, whatever the sons of Israel remove for the Lord, I have given to you and to your sons and your daughters with you, an everlasting statute. It is a covenant of everlasting salt before the Lord for you and for your seed after you.","Every special offering of the holy things, whatsoever the children of Israel shall specially offer to the Lord, I have given to thee and to thy sons and to thy daughters with thee, a perpetual ordinance: it is a covenant of salt for ever before the Lord, for thee and thy seed after thee.",22
Numbers 25:13,Numbers,25,13,high,17,1,1,0,0,,5,3,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"covenant, god, seed","decisions=1; footnotes=1; importance=high; keywords=covenant, god, seed; crossref_top_vote=5","And it shall be to him and to his seed after him a covenant of everlasting priesthood, because he was jealous for his God and made atonement for the sons of Israel.","and he and his seed after him shall have a perpetual covenant of priesthood, because he was zealous for his God, and made atonement for the children of Israel.",23
Deuteronomy 2:30,Deuteronomy,2,30,high,19,1,1,0,0,,8,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, king, lord, spirit","decisions=1; footnotes=1; importance=high; keywords=god, king, lord, spirit; crossref_top_vote=8","And Sihon king of Heshbon was not willing to let us pass through him, because the Lord our God hardened his spirit and strengthened his heart, so that he might be handed into your hands, as at this day.","And Seon king of Esebon would not that we should pass by him, because the Lord our God hardened his spirit, and made his heart stubborn, that he might be delivered into thy hands, as on this day.",24
