book_name,sample_slot,ref,artifact_checks,repeated_word_candidate,translation
Genesis,first,Genesis 1:1,,,"At the beginning, God made heaven and earth."
Genesis,middle,Genesis 27:38,,,"But Esau said to his father, Do you have only one blessing, father? Bless me too, father. And Isaac was pierced, and Esau cried aloud and wept."
Genesis,last,Genesis 50:26,,,"And Joseph died, being one hundred ten years old, and they prepared him and put him in the coffin in Egypt."
Exodus,first,Exodus 1:1,,,These are the names of the sons of Israel who entered into Egypt with Jacob their father; each entered with his whole household.
Exodus,middle,Exodus 21:37,,,"If someone steals an ox or a sheep and slaughters it or sells it, he shall repay five oxen for the ox and four sheep for the sheep."
Exodus,last,Exodus 40:38,,,"For cloud was upon the tent by day, and fire upon it by night, before all Israel in all their journeys."""
Leviticus,first,Leviticus 1:1,,,"And the Lord called Moses and spoke to him from the tent of testimony, saying,"
Leviticus,middle,Leviticus 15:7,,,And the one touching the flesh of the one with discharge shall wash his garments and bathe in water and be unclean until evening.
Leviticus,last,Leviticus 27:34,,,These are the commands that the Lord commanded Moses for the sons of Israel on Mount Sinai.
Numbers,first,Numbers 1:1,,,"And the Lord spoke to Moses in the wilderness of Sinai, in the tent of testimony, on the first day of the second month, in the second year after they came out of the land of Egypt, saying,"
Numbers,middle,Numbers 17:20,,,"And it shall be that the man whom I choose, his rod shall sprout, and I will remove from myself the grumbling of the sons of Israel, which they grumble against you."
Numbers,last,Numbers 36:13,,,These are the commands and the ordinances and the judgments that the Lord commanded by the hand of Moses west of Moab by the Jordan at Jericho.
Deuteronomy,first,Deuteronomy 1:1,,,"These are the words that Moses spoke to all Israel beyond the Jordan in the wilderness, toward the west, near the Red Sea, between Pharan and Tophel and Lobon and Aulon and Katakrusea."
Deuteronomy,middle,Deuteronomy 17:8,,,"And if a matter in judgment is too hard for you, between blood and blood, and between judgment and judgment, and between wound and wound, words of judgment in your cities, then, rising, you shall go up to the place that the Lord your God chooses for his name to be called there."
Deuteronomy,last,Deuteronomy 34:12,,,the great wonders and the mighty hand that Moses did before all Israel.
Joshua,first,Joshua 1:1,,,"And it happened after the death of Moses, the Lord said to Joshua son of Nun, minister of Moses, saying,"
Joshua,middle,Joshua 13:30,,,"And their boundaries came to be from Maanaim and all the kingdom of Bashan and all the kingdom of Og king of Bashan and all the villages of Jair that are in Bashanitis, sixty cities,"
Joshua,last,Joshua 24:33,,,"And after these things Eleazar son of Aaron the high priest died, and they buried him in Gabaath of Phinehas his son, which he gave him in the hill-country of Ephraim."
Judges,first,Judges 1:1,,,"And it came to be after the death of Joshua that the sons of Israel inquired of the Lord, saying, Who shall go up for us against the Canaanite, leading to fight against him?"
Judges,middle,Judges 10:8,,,"And they crushed and oppressed the sons of Israel in that year, eighteen years, all the sons of Israel beyond the Jordan in the land of the Amorite in Gileaditis."
Judges,last,Judges 21:25,,,In those days there was no king in Israel; each man did what was right in his own eyes.
Ruth,first,Ruth 1:1,,,"And it came to be in the judging of the judges, and there was famine in the land, and a man from Bethleem of Judah went to reside in the field of Moab, he and his wife and his sons."
Ruth,middle,Ruth 2:21,,,"And Ruth said to her mother-in-law, Indeed he also said to me, Stay close with my young men until they finish all the harvest that belongs to me."
Ruth,last,Ruth 4:22,,,"and Ōbēd fathered Jessai, and Jessai fathered David."
1 Samuel,first,1 Samuel 1:1,,,"There was a man from Armathaim Siphā, from the hill-country of Ephraim, and his name was Elkana, son of Ieremeēl, son of Eliou, son of Thoke, in Nasib Ephraim."
1 Samuel,middle,1 Samuel 16:5,,,"And he said, Peace. I have come to sacrifice to the Lord. Consecrate yourselves and be glad with me today. And he consecrated Iessai and his sons and called them to the sacrifice."
1 Samuel,last,1 Samuel 31:13,,,And they took their bones and buried them under the tamarisk tree at Iabis and fasted seven days.
2 Samuel,first,2 Samuel 1:1,,,"And it came to be after the death of Saul, David returned from striking Amalek, and David sat in Sekelak two days."
2 Samuel,middle,2 Samuel 14:14,,,"Because in death we will die, and like the water poured down upon the ground, which will not be gathered, and God will take a life, yet he devises ways for the banished one not to remain banished from him."
2 Samuel,last,2 Samuel 24:25,,,"And David built there an altar to the Lord and offered whole burnt offerings and peace offerings, and afterward Solomon added to the altar, because it had been small at first. And the Lord listened to the land, and the plague was restrained from over Israel."
1 Kings,first,1 Kings 1:1,,,"And King David was old, advanced in days, and they covered him with garments, but he did not get warm."
1 Kings,middle,1 Kings 11:17,,,"And Ader fled, he and all the Idumean men from the servants of his father with him, and they entered into Egypt, and Ader was a small boy."
1 Kings,last,1 Kings 22:54,,,And he served the Baals and bowed down to them and provoked the Lord God of Israel according to all the things that came before him.
2 Kings,first,2 Kings 1:1,,,And Moab rebelled against Israel after the death of Ahab.
2 Kings,middle,2 Kings 13:22,,,And Hazael oppressed Israel all the days of Ioachas.
2 Kings,last,2 Kings 25:30,,,"And his allowance, a continual allowance, was given to him from the king's house, a matter of a day in its day, all the days of his life."
1 Chronicles,first,1 Chronicles 1:1,,,"Adam, Seth, Enos,"
1 Chronicles,middle,1 Chronicles 12:10,,,"Azer chief, Abdias second, Eliab third,"
1 Chronicles,last,1 Chronicles 29:30,,,concerning all his kingdom and his mighty rule and times which came upon him and upon Israel and upon all kingdoms of earth.
2 Chronicles,first,2 Chronicles 1:1,,,"And Solomon son of David was strengthened over his kingdom, and Lord his God was with him and magnified him on high."
2 Chronicles,middle,2 Chronicles 20:18,,,"And Jehoshaphat bowed with face to ground, and all Judah and inhabitants of Jerusalem fell before Lord to worship Lord."
2 Chronicles,last,2 Chronicles 36:23,,,"Thus says Cyrus king of Persians: Lord God of heaven gave me all kingdoms of earth, and he himself commanded me to build for him house in Jerusalem in Ioudaia. Whoever among you is from all his people, his God shall be with him, and let him go up."
Ezra,first,Ezra 1:1,,,"And in first year of Cyrus king of Persians, for fulfillment of word of the Lord from mouth of Ieremias, the Lord stirred spirit of Cyrus king of Persians, and he proclaimed with a voice through all his kingdom, also in writing, saying,"
Ezra,middle,Ezra 6:6,,,"Now stay away from there, governors beyond the River, Satharbouzana and your fellow-servants, the Apharsachaeans beyond the River."
Ezra,last,Ezra 10:44,,,All these took foreign women and begot sons from them.
Nehemiah,first,Nehemiah 1:1,,,"Words of Nehemias son of Achalia. And it came to be in month Chaseleu, twentieth year, and I was in Sousan the citadel."
Nehemiah,middle,Nehemiah 8:2,,,"And Ezra the priest brought the law before the assembly, from man even to woman, and everyone understanding to hear, on first day of the seventh month."
Nehemiah,last,Nehemiah 13:31,,,"and gift of the wood-bearers at appointed times from years and in the firstfruits. Remember me, our God, for goodness."
Esther,first,Esther 1:1,,,"And it came to be after these words, in days of Artaxerxes, this Artaxerxes ruled from India over one hundred twenty-seven provinces."
Esther,middle,Esther 5:7,,,"And she said, My petition and my request are this:"
Esther,last,Esther 10:3,,,"And Mardochaios succeeded King Artaxerxes and was great in the kingdom and glorified by the Ioudaioi and loved, recounting the way of life to all his nation."
Job,first,Job 1:1,,,"There was a certain man in the land of Ausitis, whose name was Job, and that man was true, blameless, righteous, god-fearing, turning away from every evil thing."
Job,middle,Job 22:15,,,"Will you keep ancient path which unjust men trod,"
